model_kind,replicate_id,pool,run_id,model_seed,trained_task_count,task_status,layer,probe_task_count,length_conditioned_r2,pearson_r,normalized_rmse,exact_accuracy,length_mode_baseline_accuracy,exact_accuracy_minus_baseline
trained,r0,a,property-a-transformer-tasks08-seed17,17,8,opposite_pool,embedding,16,1.3877787807814457e-17,0.0005136987105366431,1.0166853004273695,0.384796142578125,0.4301300048828125,-0.0453338623046875
trained,r0,a,property-a-transformer-tasks08-seed17,17,8,opposite_pool,final_norm,16,0.2646802241030353,0.4788965731709233,0.8602251725560436,0.4836883544921875,0.4301300048828125,0.053558349609375
trained,r0,a,property-a-transformer-tasks08-seed17,17,8,same_pool_untrained,block_01,8,0.21794920476719787,0.4513880095017637,0.9237709837390758,0.4324951171875,0.397125244140625,0.035369873046875
trained,r0,a,property-a-transformer-tasks08-seed17,17,8,same_pool_untrained,block_02,8,0.26409457730861624,0.49851019631756754,0.89542250430939,0.441558837890625,0.397125244140625,0.04443359375
trained,r0,a,property-a-transformer-tasks08-seed17,17,8,same_pool_untrained,block_03,8,0.2780878798272344,0.5099450423912844,0.8861633434741694,0.4443359375,0.397125244140625,0.047210693359375
trained,r0,a,property-a-transformer-tasks08-seed17,17,8,same_pool_untrained,block_04,8,0.28834384387459894,0.5201129693610302,0.8795741973153323,0.44647216796875,0.397125244140625,0.049346923828125
trained,r0,a,property-a-transformer-tasks08-seed17,17,8,same_pool_untrained,embedding,8,0.0,0.0,1.0459443522805787,0.35174560546875,0.397125244140625,-0.045379638671875
trained,r0,a,property-a-transformer-tasks08-seed17,17,8,same_pool_untrained,final_norm,8,0.2752172560019457,0.5073154225346751,0.8879440140544853,0.441131591796875,0.397125244140625,0.04400634765625
trained,r0,a,property-a-transformer-tasks08-seed17,17,8,trained,block_01,8,0.2495886421873328,0.4550983329584272,0.8761187319697492,0.512664794921875,0.432891845703125,0.07977294921875
trained,r0,a,property-a-transformer-tasks08-seed17,17,8,trained,block_02,8,0.3377946092242786,0.5323179073489259,0.8093784525491172,0.557830810546875,0.432891845703125,0.12493896484375
trained,r0,a,property-a-transformer-tasks08-seed17,17,8,trained,block_03,8,0.3736316254048599,0.5608705772362714,0.780039128200309,0.58123779296875,0.432891845703125,0.148345947265625
trained,r0,a,property-a-transformer-tasks08-seed17,17,8,trained,block_04,8,0.39740818528961547,0.5810644419887441,0.7587413640844898,0.595123291015625,0.432891845703125,0.1622314453125
trained,r0,a,property-a-transformer-tasks08-seed17,17,8,trained,embedding,8,0.0,-1.6157329530815546e-05,1.021215864206179,0.428314208984375,0.432891845703125,-0.00457763671875
trained,r0,a,property-a-transformer-tasks08-seed17,17,8,trained,final_norm,8,0.3836394496936264,0.568350788604476,0.7712699243319253,0.587158203125,0.432891845703125,0.154266357421875
trained,r0,a,property-a-transformer-tasks16-seed17,17,16,opposite_pool,block_01,16,0.22224888343749885,0.4371258234522624,0.8880174980736454,0.4716796875,0.4301300048828125,0.0415496826171875
trained,r0,a,property-a-transformer-tasks16-seed17,17,16,opposite_pool,block_02,16,0.2634594165101658,0.4744912875586519,0.8608688113727562,0.482208251953125,0.4301300048828125,0.0520782470703125
trained,r0,a,property-a-transformer-tasks16-seed17,17,16,opposite_pool,block_03,16,0.266405293224652,0.47839578386553844,0.8592099193228111,0.486236572265625,0.4301300048828125,0.0561065673828125
trained,r0,a,property-a-transformer-tasks16-seed17,17,16,opposite_pool,block_04,16,0.2674002255648772,0.47878649981204746,0.8584128233498215,0.4863128662109375,0.4301300048828125,0.056182861328125
trained,r0,a,property-a-transformer-tasks16-seed17,17,16,opposite_pool,embedding,16,-4.163336342344337e-17,0.0005157550282353583,1.0166853004273697,0.384796142578125,0.4301300048828125,-0.0453338623046875
trained,r0,a,property-a-transformer-tasks16-seed17,17,16,opposite_pool,final_norm,16,0.25809296619342115,0.4693645875669033,0.8646632617840722,0.483367919921875,0.4301300048828125,0.0532379150390625
trained,r0,a,property-a-transformer-tasks16-seed17,17,16,trained,block_01,16,0.24397119383253302,0.46192106438071423,0.8930902281996876,0.4763336181640625,0.415008544921875,0.0613250732421875
trained,r0,a,property-a-transformer-tasks16-seed17,17,16,trained,block_02,16,0.30501625196090415,0.5114709891184372,0.8495784798454655,0.49798583984375,0.415008544921875,0.082977294921875
trained,r0,a,property-a-transformer-tasks16-seed17,17,16,trained,block_03,16,0.3192504628809882,0.5242981167100047,0.8395861663951113,0.5018310546875,0.415008544921875,0.086822509765625
trained,r0,a,property-a-transformer-tasks16-seed17,17,16,trained,block_04,16,0.3271821167139419,0.5301759538653403,0.8332881053808295,0.5047454833984375,0.415008544921875,0.0897369384765625
trained,r0,a,property-a-transformer-tasks16-seed17,17,16,trained,embedding,16,1.3877787807814457e-17,-0.0002415572702995036,1.0335801082433789,0.3900299072265625,0.415008544921875,-0.0249786376953125
trained,r0,a,property-a-transformer-tasks16-seed17,17,16,trained,final_norm,16,0.3141822150706103,0.5218444247375627,0.8432281625133304,0.497802734375,0.415008544921875,0.082794189453125
trained,r0,b,property-b-transformer-tasks01-seed17,17,1,opposite_pool,block_01,16,0.15709936650473982,0.3428241243425185,0.9425571031589639,0.4497222900390625,0.415008544921875,0.0347137451171875
trained,r0,b,property-b-transformer-tasks01-seed17,17,1,opposite_pool,block_02,16,0.18889589899375714,0.3928061187492125,0.9251266865026405,0.4566650390625,0.415008544921875,0.041656494140625
trained,r0,b,property-b-transformer-tasks01-seed17,17,1,opposite_pool,block_03,16,0.1870441911128858,0.39269515904340396,0.9271067973511841,0.4569854736328125,0.415008544921875,0.0419769287109375
trained,r0,b,property-b-transformer-tasks01-seed17,17,1,opposite_pool,block_04,16,0.18189207641906424,0.38655996307750057,0.9306992388559687,0.453857421875,0.415008544921875,0.038848876953125
trained,r0,b,property-b-transformer-tasks01-seed17,17,1,opposite_pool,embedding,16,-1.3877787807814457e-17,-0.0015543611137178192,1.0335801082433789,0.3900299072265625,0.415008544921875,-0.0249786376953125
trained,r0,b,property-b-transformer-tasks01-seed17,17,1,opposite_pool,final_norm,16,0.18331523836269073,0.38996412210694037,0.9297633337418914,0.4533233642578125,0.415008544921875,0.0383148193359375
trained,r0,b,property-b-transformer-tasks01-seed17,17,1,same_pool_untrained,block_01,15,0.12657587198644613,0.31923165802086495,0.9458043750926988,0.43601888020833335,0.4361653645833333,-0.000146484375
trained,r0,b,property-b-transformer-tasks01-seed17,17,1,same_pool_untrained,block_02,15,0.15975367879248392,0.36190666224759716,0.925894963001377,0.44169921875,0.4361653645833333,0.005533854166666667
trained,r0,b,property-b-transformer-tasks01-seed17,17,1,same_pool_untrained,block_03,15,0.1513519748488537,0.35318181537410914,0.930824208440671,0.43914388020833334,0.4361653645833333,0.002978515625
trained,r0,b,property-b-transformer-tasks01-seed17,17,1,same_pool_untrained,block_04,15,0.14323003728517633,0.3442697601370675,0.9357279812904894,0.438623046875,0.4361653645833333,0.0024576822916666666
trained,r0,b,property-b-transformer-tasks01-seed17,17,1,same_pool_untrained,embedding,15,1.4802973661668754e-17,-8.731104948319761e-05,1.0148573295401808,0.3873697916666667,0.4361653645833333,-0.04879557291666667
trained,r0,b,property-b-transformer-tasks01-seed17,17,1,same_pool_untrained,final_norm,15,0.14918129328112742,0.35350528047118196,0.9324892911542916,0.43955078125,0.4361653645833333,0.0033854166666666668
trained,r0,b,property-b-transformer-tasks01-seed17,17,1,trained,block_01,1,0.17031839615458622,0.41269020992755995,0.9510423339817419,0.423095703125,0.339599609375,0.08349609375
trained,r0,b,property-b-transformer-tasks01-seed17,17,1,trained,block_02,1,0.7425926314434875,0.8618397753118952,0.5297300456263289,0.657470703125,0.339599609375,0.31787109375
trained,r0,b,property-b-transformer-tasks01-seed17,17,1,trained,block_03,1,0.8406023802921804,0.9169145213259272,0.4168550188840877,0.75732421875,0.339599609375,0.417724609375
trained,r0,b,property-b-transformer-tasks01-seed17,17,1,trained,block_04,1,0.8499480104122306,0.9219811788161243,0.4044501473341769,0.76123046875,0.339599609375,0.421630859375
trained,r0,b,property-b-transformer-tasks01-seed17,17,1,trained,embedding,1,0.0,0.0,1.0441048637352013,0.34619140625,0.339599609375,0.006591796875
trained,r0,b,property-b-transformer-tasks01-seed17,17,1,trained,final_norm,1,0.8506998236276752,0.9224171322369121,0.4034356562922501,0.76416015625,0.339599609375,0.424560546875
trained,r0,b,property-b-transformer-tasks02-seed17,17,2,opposite_pool,block_01,16,0.1782057907642288,0.3791423408599282,0.9315951529894952,0.4591522216796875,0.415008544921875,0.0441436767578125
trained,r0,b,property-b-transformer-tasks02-seed17,17,2,opposite_pool,block_02,16,0.23714889717142973,0.4455579494115993,0.8936434646088158,0.4752349853515625,0.415008544921875,0.0602264404296875
trained,r0,b,property-b-transformer-tasks02-seed17,17,2,opposite_pool,block_03,16,0.2424756608686855,0.4578664810675789,0.8908636227683804,0.475128173828125,0.415008544921875,0.06011962890625
trained,r0,b,property-b-transformer-tasks02-seed17,17,2,opposite_pool,block_04,16,0.24274676767543166,0.458015854818554,0.8904199493603677,0.47552490234375,0.415008544921875,0.060516357421875
trained,r0,b,property-b-transformer-tasks02-seed17,17,2,opposite_pool,embedding,16,-1.3877787807814457e-17,-0.001244006037292023,1.0335801082433789,0.3900299072265625,0.415008544921875,-0.0249786376953125
trained,r0,b,property-b-transformer-tasks02-seed17,17,2,opposite_pool,final_norm,16,0.2390557028569123,0.45720437176012196,0.893480330439123,0.4724884033203125,0.415008544921875,0.0574798583984375
trained,r0,b,property-b-transformer-tasks02-seed17,17,2,same_pool_untrained,block_01,14,0.10755640118083538,0.3057205834163034,0.9583996204468522,0.435302734375,0.4404994419642857,-0.005196707589285714
trained,r0,b,property-b-transformer-tasks02-seed17,17,2,same_pool_untrained,block_02,14,0.21017279613414117,0.41542009735015056,0.8947648661444642,0.47176688058035715,0.4404994419642857,0.03126743861607143
trained,r0,b,property-b-transformer-tasks02-seed17,17,2,same_pool_untrained,block_03,14,0.21802768827748759,0.4299410853881768,0.89003904584575,0.4719935825892857,0.4404994419642857,0.031494140625
trained,r0,b,property-b-transformer-tasks02-seed17,17,2,same_pool_untrained,block_04,14,0.22634773767831387,0.4395380784895845,0.8847680511276305,0.47323172433035715,0.4404994419642857,0.03273228236607143
trained,r0,b,property-b-transformer-tasks02-seed17,17,2,same_pool_untrained,embedding,14,0.0,-0.0006401976631065484,1.0159171056538325,0.38949148995535715,0.4404994419642857,-0.05100795200892857
trained,r0,b,property-b-transformer-tasks02-seed17,17,2,same_pool_untrained,final_norm,14,0.2227111071195895,0.43859878540245695,0.887705589262216,0.47164481026785715,0.4404994419642857,0.031145368303571428
