replicate_id,model_seed,trained_task_count,layer,pool_direction_count,length_conditioned_r2,pearson_r,normalized_rmse,exact_accuracy,length_mode_baseline_accuracy,exact_accuracy_minus_baseline
r1,42,1,embedding,2,-6.938893903907228e-18,-0.0007716871465627433,1.0251327043353742,0.38741302490234375,0.42256927490234375,-0.03515625
r1,42,1,block_01,2,0.08969926277378357,0.2617357431890152,0.9770360389316495,0.41924285888671875,0.42256927490234375,-0.003326416015625
r1,42,1,block_02,2,0.10444857176140795,0.29585779072350293,0.9692386697045019,0.4200439453125,0.42256927490234375,-0.00252532958984375
r1,42,1,block_03,2,0.11244469744003345,0.30813496257701684,0.9648466953466958,0.422821044921875,0.42256927490234375,0.00025177001953125
r1,42,1,block_04,2,0.11110969727772842,0.30546574554862715,0.965558187831279,0.42362213134765625,0.42256927490234375,0.0010528564453125
r1,42,1,final_norm,2,0.10884399631793011,0.3036763279998822,0.9669699087767711,0.42319488525390625,0.42256927490234375,0.0006256103515625
r1,42,2,embedding,2,-1.3877787807814457e-17,-0.0009290265833160137,1.0251327043353742,0.38741302490234375,0.42256927490234375,-0.03515625
r1,42,2,block_01,2,0.14131860413711,0.35290943826917476,0.9483289661090628,0.4425048828125,0.42256927490234375,0.01993560791015625
r1,42,2,block_02,2,0.19888886813188306,0.4201339305180658,0.9141635653412201,0.45864105224609375,0.42256927490234375,0.03607177734375
r1,42,2,block_03,2,0.20747715068548056,0.43212194424133404,0.9093238025157355,0.46091461181640625,0.42256927490234375,0.0383453369140625
r1,42,2,block_04,2,0.2072048501470404,0.4344166454337999,0.9096258554895429,0.46141815185546875,0.42256927490234375,0.038848876953125
r1,42,2,final_norm,2,0.20509143908784574,0.4324929962660762,0.9108554500768318,0.4599456787109375,0.42256927490234375,0.03737640380859375
r1,42,4,embedding,2,-6.938893903907228e-18,-0.0006174374461738602,1.0251327043353742,0.38741302490234375,0.42256927490234375,-0.03515625
r1,42,4,block_01,2,0.1850840734199995,0.41227620911270224,0.9229477097969583,0.45612335205078125,0.42256927490234375,0.0335540771484375
r1,42,4,block_02,2,0.2696318264656419,0.4974176029343686,0.8708805437990805,0.47918701171875,0.42256927490234375,0.05661773681640625
