model_kind,replicate_id,pool,run_id,model_seed,trained_task_count,trained_tasks,probe_task,probe_task_family,task_status,layer,selected_ridge_alpha,tuning_length_conditioned_r2,probe_train_examples,probe_tune_examples,probe_test_examples,length_conditioned_r2,pearson_r,normalized_rmse,exact_accuracy,length_mode_baseline_accuracy,exact_accuracy_minus_baseline
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,recoils,local,opposite_pool,block_02,0.001,0.23125890568464091,3072,1024,4096,0.2591046008465413,0.509027161161566,0.8987161949280726,0.43212890625,0.339599609375,0.092529296875
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,peaks,local,same_pool_untrained,block_02,1e-06,0.34255973962586395,3072,1024,4096,0.29990539926557214,0.55184198058774,0.8250578511674922,0.5654296875,0.479248046875,0.086181640625
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,valleys,local,opposite_pool,block_02,1e-05,0.29744574847789507,3072,1024,4096,0.331219180382163,0.576136605773587,0.8085780549406835,0.553466796875,0.45458984375,0.098876953125
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,double_ascents,local,same_pool_untrained,block_02,1e-05,0.7282417992664092,3072,1024,4096,0.7070517492588178,0.8409279400524373,0.5483163030548279,0.5498046875,0.352783203125,0.197021484375
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,double_descents,local,opposite_pool,block_02,1e-05,0.6735993962064304,3072,1024,4096,0.7108424847076458,0.8432138664811807,0.5492041629167587,0.55419921875,0.34716796875,0.20703125
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,successions,local,same_pool_untrained,block_02,1e-05,0.4754988355668698,3072,1024,4096,0.4803780421149625,0.6935231169353964,0.7373143332466101,0.569091796875,0.3974609375,0.171630859375
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,adjacencies,local,opposite_pool,block_02,1e-06,0.40724512651123335,3072,1024,4096,0.4142984958052931,0.6468930036119718,0.7444378587466173,0.4638671875,0.33349609375,0.13037109375
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,fixed_points,positional,same_pool_untrained,block_02,0.0001,0.15868036593074997,3072,1024,4096,0.20774731541081792,0.45579879767479686,0.922678705119946,0.43505859375,0.376708984375,0.058349609375
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,anti_fixed_points,positional,opposite_pool,block_02,1e-05,0.18684935853010698,3072,1024,4096,0.1827244487029407,0.43090628940080977,0.9040514371482457,0.45263671875,0.37548828125,0.0771484375
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,exceedances,positional,same_pool_untrained,block_02,1e-05,0.33479180079593485,3072,1024,4096,0.3781125084420617,0.6148781373998939,0.8071797545324175,0.45654296875,0.338134765625,0.118408203125
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,deficiencies,positional,opposite_pool,block_02,1e-05,0.3343408087989612,3072,1024,4096,0.33811728657822293,0.581521429692179,0.8314649842154302,0.45556640625,0.332275390625,0.123291015625
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,left_to_right_maxima,positional,same_pool_untrained,block_02,1e-05,0.4558624137206686,3072,1024,4096,0.5005858828069707,0.7077353496005929,0.7105368433899507,0.477783203125,0.319580078125,0.158203125
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,left_to_right_minima,positional,opposite_pool,block_02,1e-05,0.5483592442693394,3072,1024,4096,0.5524734889777994,0.7438105221371326,0.6896072911259632,0.496826171875,0.305908203125,0.19091796875
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,right_to_left_maxima,positional,same_pool_untrained,block_02,1e-05,0.4463078974292849,3072,1024,4096,0.48533225221165943,0.6968158336874264,0.7350503375275628,0.457763671875,0.31298828125,0.144775390625
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,right_to_left_minima,positional,opposite_pool,block_02,1e-05,0.4904593136704898,3072,1024,4096,0.5103236071471358,0.7149192360370867,0.7151209141511178,0.47216796875,0.308349609375,0.163818359375
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,cycle_count,cycle,same_pool_untrained,block_02,0.0001,0.1304238085545817,3072,1024,4096,0.15095518626904425,0.38925293107589154,0.9359825359068367,0.364013671875,0.302734375,0.061279296875
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,two_cycle_count,cycle,opposite_pool,block_02,0.001,0.03511450679316741,3072,1024,4096,0.05233068033379806,0.23193851113557512,0.9973390112647281,0.49853515625,0.595947265625,-0.097412109375
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,three_cycle_count,cycle,same_pool_untrained,block_02,0.01,0.007537411807838845,3072,1024,4096,0.0033743983808298683,0.08023754566042045,0.963054259614391,0.722900390625,0.7275390625,-0.004638671875
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,even_cycle_count,cycle,opposite_pool,block_02,0.01,0.026108356150088774,3072,1024,4096,0.03556918632328032,0.19405048836523453,0.989086106241832,0.421630859375,0.406494140625,0.01513671875
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,odd_cycle_count,cycle,same_pool_untrained,block_02,0.001,0.12453254946471237,3072,1024,4096,0.1428170556844024,0.3778987551139422,0.9523567506338074,0.359619140625,0.569091796875,-0.20947265625
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,longest_cycle,cycle,same_pool_untrained,block_02,0.001,0.07350699798629601,3072,1024,4096,0.08591524734955014,0.29450054088438565,0.9700303243567657,0.1943359375,0.15869140625,0.03564453125
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,shortest_cycle,cycle,opposite_pool,block_02,0.0001,0.06871370137919752,3072,1024,4096,0.07387411240422737,0.2795269554014745,0.9841642715444209,0.218505859375,0.617431640625,-0.39892578125
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,nontrivial_cycle_count,cycle,opposite_pool,block_02,0.01,0.06443005160435877,3072,1024,4096,0.09582691809600896,0.3096031167971781,0.9733763777681258,0.45556640625,0.439208984375,0.016357421875
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,lis_length,global_run,same_pool_untrained,block_02,1e-05,0.4361174513552877,3072,1024,4096,0.49647045606244444,0.7046808355210258,0.7385691855709722,0.547119140625,0.38623046875,0.160888671875
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,lds_length,global_run,opposite_pool,block_02,1e-05,0.44227232467509203,3072,1024,4096,0.4956063602708649,0.703954342174524,0.7373485299473336,0.54248046875,0.40380859375,0.138671875
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,longest_increasing_run,global_run,same_pool_untrained,block_02,1e-05,0.4885031867037054,3072,1024,4096,0.4700548582193851,0.6856628757434082,0.7690376465790502,0.659912109375,0.505126953125,0.15478515625
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,longest_decreasing_run,global_run,opposite_pool,block_02,0.0001,0.4492988012163561,3072,1024,4096,0.4591671745319039,0.6780676357536347,0.7626684347556671,0.650146484375,0.50390625,0.146240234375
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,global_descents,global_run,same_pool_untrained,block_02,1e-05,0.3280513633461961,3072,1024,4096,0.28757475925763865,0.5374922799669127,1.0548740693000378,0.8779296875,0.8095703125,0.068359375
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,components,global_run,opposite_pool,block_02,1e-05,0.3948015820903651,3072,1024,4096,0.4461707007975436,0.6680220688343179,0.7493074261949911,0.8916015625,0.812255859375,0.079345703125
