trained_task_count,layer,replicate_count,length_conditioned_r2_mean,length_conditioned_r2_sample_sd,pearson_r_mean,pearson_r_sample_sd,normalized_rmse_mean,normalized_rmse_sample_sd,exact_accuracy_mean,exact_accuracy_sample_sd,length_mode_baseline_accuracy_mean,length_mode_baseline_accuracy_sample_sd,exact_accuracy_minus_baseline_mean,exact_accuracy_minus_baseline_sample_sd
8,embedding,3,0.0,1.2018516789897274e-17,-0.0006634357224187772,0.0005870275484467014,1.0251327043353742,0.0,0.38741302490234375,0.0,0.42256927490234375,0.0,-0.03515625,0.0
8,block_01,3,0.19606264676033813,0.011735550565472331,0.4158818499582271,0.011462581215133157,0.9151421103088366,0.007487060304498738,0.46001942952473956,0.004404383670490158,0.42256927490234375,0.0,0.037450154622395836,0.004404383670490158
8,block_02,3,0.2920810720497048,0.014173867719497045,0.5080736876361138,0.01629613460255262,0.8522355184689939,0.008220030389846839,0.4926605224609375,0.005545703972525336,0.42256927490234375,0.0,0.07009124755859375,0.005545703972525336
8,block_03,3,0.30985666075622914,0.01662127150037934,0.5255602868971233,0.017621459725539416,0.8399928795968811,0.00949785090538472,0.5003712972005209,0.0052936691997256735,0.42256927490234375,0.0,0.07780202229817708,0.0052936691997256735
8,block_04,3,0.3158970766093841,0.01709213353413985,0.5323128955554592,0.01837490332447532,0.8358009549427982,0.009928169177287604,0.5017623901367188,0.005430505274176616,0.42256927490234375,0.0,0.079193115234375,0.005430505274176616
8,final_norm,3,0.30689790440197545,0.01735486118001847,0.5246069181054417,0.018124816942166846,0.8426082832354945,0.010399181377868908,0.4968617757161458,0.005463010537858252,0.42256927490234375,0.0,0.07429250081380208,0.005463010537858252
16,embedding,3,-8.0953762212251e-18,1.1152711579477387e-17,0.0002515945685176773,0.0007543605991070066,1.0251327043353742,0.0,0.38741302490234375,0.0,0.42256927490234375,0.0,-0.03515625,0.0
16,block_01,3,0.22530675514049736,0.01099640265844302,0.44425228390683175,0.009090782581031917,0.895554925746363,0.007882371338733474,0.4701182047526042,0.005843540159939877,0.42256927490234375,0.0,0.047548929850260414,0.005843540159939877
16,block_02,3,0.283919297533313,0.015978232295485045,0.49746431653480955,0.013258255077929814,0.8562252573416642,0.0108386145338811,0.48872121175130206,0.006042448358418337,0.42256927490234375,0.0,0.06615193684895833,0.006042448358418337
16,block_03,3,0.2973570656323515,0.0113801366507949,0.5093552866231732,0.009142624212577416,0.847251131689765,0.00809820509563591,0.49435170491536456,0.0054303194811430484,0.42256927490234375,0.0,0.07178243001302083,0.0054303194811430484
16,block_04,3,0.30499673698917945,0.01370962556135955,0.5169589289218833,0.009748356262184798,0.8418897502839626,0.010488124236206082,0.496185302734375,0.007096989757031222,0.42256927490234375,0.0,0.07361602783203125,0.007096989757031222
16,final_norm,3,0.29679819881909747,0.014117866094108896,0.5106084035359723,0.011076621593750684,0.8480538516504618,0.010453197699323664,0.49310557047526044,0.007055145517409695,0.42256927490234375,0.0,0.07053629557291667,0.007055145517409695
