comparison,architecture,pool_a,task_count_a,run_id_a,pool_b,task_count_b,run_id_b,layer,probe_examples,linear_cka
within_pool_k16_alignment,transformer,b,1,property-b-transformer-tasks01-seed17,b,16,property-b-transformer-tasks16-seed17,embedding,4096,0.817773062682127
within_pool_k16_alignment,transformer,b,1,property-b-transformer-tasks01-seed17,b,16,property-b-transformer-tasks16-seed17,block_01,4096,0.1664772502304593
within_pool_k16_alignment,transformer,b,1,property-b-transformer-tasks01-seed17,b,16,property-b-transformer-tasks16-seed17,block_02,4096,0.2079326353546587
within_pool_k16_alignment,transformer,b,1,property-b-transformer-tasks01-seed17,b,16,property-b-transformer-tasks16-seed17,block_03,4096,0.16567517635788517
within_pool_k16_alignment,transformer,b,1,property-b-transformer-tasks01-seed17,b,16,property-b-transformer-tasks16-seed17,block_04,4096,0.18276120064743864
within_pool_k16_alignment,transformer,b,1,property-b-transformer-tasks01-seed17,b,16,property-b-transformer-tasks16-seed17,final_norm,4096,0.25601842813641007
within_pool_k16_alignment,transformer,b,2,property-b-transformer-tasks02-seed17,b,16,property-b-transformer-tasks16-seed17,embedding,4096,0.8835840557534038
within_pool_k16_alignment,transformer,b,2,property-b-transformer-tasks02-seed17,b,16,property-b-transformer-tasks16-seed17,block_01,4096,0.2399455816209568
within_pool_k16_alignment,transformer,b,2,property-b-transformer-tasks02-seed17,b,16,property-b-transformer-tasks16-seed17,block_02,4096,0.22357791856463366
within_pool_k16_alignment,transformer,b,2,property-b-transformer-tasks02-seed17,b,16,property-b-transformer-tasks16-seed17,block_03,4096,0.1985940506793327
within_pool_k16_alignment,transformer,b,2,property-b-transformer-tasks02-seed17,b,16,property-b-transformer-tasks16-seed17,block_04,4096,0.2023424013387345
within_pool_k16_alignment,transformer,b,2,property-b-transformer-tasks02-seed17,b,16,property-b-transformer-tasks16-seed17,final_norm,4096,0.2326060290390711
within_pool_k16_alignment,transformer,b,4,property-b-transformer-tasks04-seed17,b,16,property-b-transformer-tasks16-seed17,embedding,4096,0.8671716554771473
within_pool_k16_alignment,transformer,b,4,property-b-transformer-tasks04-seed17,b,16,property-b-transformer-tasks16-seed17,block_01,4096,0.1930062891859395
within_pool_k16_alignment,transformer,b,4,property-b-transformer-tasks04-seed17,b,16,property-b-transformer-tasks16-seed17,block_02,4096,0.11508196221230314
within_pool_k16_alignment,transformer,b,4,property-b-transformer-tasks04-seed17,b,16,property-b-transformer-tasks16-seed17,block_03,4096,0.11311885432405909
within_pool_k16_alignment,transformer,b,4,property-b-transformer-tasks04-seed17,b,16,property-b-transformer-tasks16-seed17,block_04,4096,0.12574270073555635
within_pool_k16_alignment,transformer,b,4,property-b-transformer-tasks04-seed17,b,16,property-b-transformer-tasks16-seed17,final_norm,4096,0.15305869930835764
within_pool_k16_alignment,transformer,b,8,property-b-transformer-tasks08-seed17,b,16,property-b-transformer-tasks16-seed17,embedding,4096,0.9291660885550499
within_pool_k16_alignment,transformer,b,8,property-b-transformer-tasks08-seed17,b,16,property-b-transformer-tasks16-seed17,block_01,4096,0.6779909455862995
within_pool_k16_alignment,transformer,b,8,property-b-transformer-tasks08-seed17,b,16,property-b-transformer-tasks16-seed17,block_02,4096,0.7499438929517102
within_pool_k16_alignment,transformer,b,8,property-b-transformer-tasks08-seed17,b,16,property-b-transformer-tasks16-seed17,block_03,4096,0.7496042818835474
within_pool_k16_alignment,transformer,b,8,property-b-transformer-tasks08-seed17,b,16,property-b-transformer-tasks16-seed17,block_04,4096,0.7852093836136262
within_pool_k16_alignment,transformer,b,8,property-b-transformer-tasks08-seed17,b,16,property-b-transformer-tasks16-seed17,final_norm,4096,0.8055730358328236
random_cross_seed,transformer,random,0,random-transformer-seed17,random,0,random-transformer-seed42,embedding,4096,0.890711421264754
random_cross_seed,transformer,random,0,random-transformer-seed17,random,0,random-transformer-seed42,block_01,4096,0.8928308263471024
random_cross_seed,transformer,random,0,random-transformer-seed17,random,0,random-transformer-seed42,block_02,4096,0.9047736504334951
random_cross_seed,transformer,random,0,random-transformer-seed17,random,0,random-transformer-seed42,block_03,4096,0.9022382209991915
random_cross_seed,transformer,random,0,random-transformer-seed17,random,0,random-transformer-seed42,block_04,4096,0.8917387308470548
random_cross_seed,transformer,random,0,random-transformer-seed17,random,0,random-transformer-seed42,final_norm,4096,0.8850689663595961
