run_id,architecture,trained_task_count,seed,task,task_status,validation_examples,supervised_tokens,token_accuracy_pct,exact_sequence_accuracy_pct
transformer-tasks02-seed42,transformer,2,42,cycle_type,pool_unseen,160,1358,28.424153,0.000000
transformer-tasks02-seed42,transformer,2,42,bruhat_leq,pool_unseen,158,316,0.000000,0.000000
transformer-tasks02-seed42,transformer,2,42,to_reduced_word,fixed_holdout,47,7862,16.204528,0.000000
transformer-tasks02-seed42,transformer,2,42,compose,fixed_holdout,108,3784,27.325581,0.925926
transformer-tasks02-seed42,transformer,2,42,parity,fixed_holdout,160,320,15.937500,0.000000
transformer-tasks02-seed42,transformer,2,42,to_lehmer,fixed_holdout,160,5508,37.073348,0.000000
transformer-tasks02-seed314159,transformer,2,314159,power,seen,156,5324,67.355372,15.384615
transformer-tasks02-seed314159,transformer,2,314159,lis_length,seen,160,320,95.937500,91.875000
transformer-tasks02-seed314159,transformer,2,314159,fixed_points,pool_unseen,160,320,27.500000,3.750000
transformer-tasks02-seed314159,transformer,2,314159,to_inversion_vector,pool_unseen,160,5462,44.104724,0.000000
transformer-tasks02-seed314159,transformer,2,314159,pattern_avoidance,pool_unseen,160,320,13.125000,0.000000
transformer-tasks02-seed314159,transformer,2,314159,lds_length,pool_unseen,160,320,54.062500,18.750000
transformer-tasks02-seed314159,transformer,2,314159,right_multiply_simple,pool_unseen,156,5144,64.463453,0.000000
transformer-tasks02-seed314159,transformer,2,314159,conjugate,pool_unseen,109,3550,23.126761,0.000000
transformer-tasks02-seed314159,transformer,2,314159,to_cycle,pool_unseen,160,5756,44.770674,0.000000
transformer-tasks02-seed314159,transformer,2,314159,descents,pool_unseen,160,320,49.687500,9.375000
transformer-tasks02-seed314159,transformer,2,314159,commutator,pool_unseen,110,3816,21.514675,0.000000
transformer-tasks02-seed314159,transformer,2,314159,length,pool_unseen,160,485,13.402062,3.125000
transformer-tasks02-seed314159,transformer,2,314159,rsk_shape,pool_unseen,160,2074,44.744455,0.000000
transformer-tasks02-seed314159,transformer,2,314159,inverse,pool_unseen,160,5594,54.576332,0.000000
transformer-tasks02-seed314159,transformer,2,314159,cycle_type,pool_unseen,160,1358,35.272459,0.000000
transformer-tasks02-seed314159,transformer,2,314159,bruhat_leq,pool_unseen,158,316,14.873418,0.000000
transformer-tasks02-seed314159,transformer,2,314159,to_reduced_word,fixed_holdout,47,7862,17.540066,0.000000
transformer-tasks02-seed314159,transformer,2,314159,compose,fixed_holdout,108,3784,22.515856,0.000000
transformer-tasks02-seed314159,transformer,2,314159,parity,fixed_holdout,160,320,21.875000,4.375000
transformer-tasks02-seed314159,transformer,2,314159,to_lehmer,fixed_holdout,160,5508,43.954248,0.000000
transformer-tasks04-seed17,transformer,4,17,power,seen,156,5324,66.341097,14.102564
transformer-tasks04-seed17,transformer,4,17,lis_length,seen,160,320,88.750000,77.500000
transformer-tasks04-seed17,transformer,4,17,fixed_points,seen,160,320,98.437500,96.875000
transformer-tasks04-seed17,transformer,4,17,to_inversion_vector,seen,160,5462,91.083852,48.125000
transformer-tasks04-seed17,transformer,4,17,pattern_avoidance,pool_unseen,160,320,0.312500,0.000000
transformer-tasks04-seed17,transformer,4,17,lds_length,pool_unseen,160,320,49.687500,1.250000
transformer-tasks04-seed17,transformer,4,17,right_multiply_simple,pool_unseen,156,5144,61.761275,0.000000
transformer-tasks04-seed17,transformer,4,17,conjugate,pool_unseen,109,3550,9.408451,0.000000
transformer-tasks04-seed17,transformer,4,17,to_cycle,pool_unseen,160,5756,44.840167,0.000000
transformer-tasks04-seed17,transformer,4,17,descents,pool_unseen,160,320,50.000000,1.875000
transformer-tasks04-seed17,transformer,4,17,commutator,pool_unseen,110,3816,9.250524,0.000000
transformer-tasks04-seed17,transformer,4,17,length,pool_unseen,160,485,18.350515,0.625000
transformer-tasks04-seed17,transformer,4,17,rsk_shape,pool_unseen,160,2074,42.092575,0.000000
transformer-tasks04-seed17,transformer,4,17,inverse,pool_unseen,160,5594,58.544870,0.000000
transformer-tasks04-seed17,transformer,4,17,cycle_type,pool_unseen,160,1358,35.567010,0.000000
transformer-tasks04-seed17,transformer,4,17,bruhat_leq,pool_unseen,158,316,0.949367,0.000000
transformer-tasks04-seed17,transformer,4,17,to_reduced_word,fixed_holdout,47,7862,14.067667,0.000000
transformer-tasks04-seed17,transformer,4,17,compose,fixed_holdout,108,3784,8.298097,0.000000
transformer-tasks04-seed17,transformer,4,17,parity,fixed_holdout,160,320,50.000000,0.000000
transformer-tasks04-seed17,transformer,4,17,to_lehmer,fixed_holdout,160,5508,50.798838,0.000000
transformer-tasks04-seed42,transformer,4,42,power,seen,156,5324,66.754320,14.743590
transformer-tasks04-seed42,transformer,4,42,lis_length,seen,160,320,87.187500,74.375000
transformer-tasks04-seed42,transformer,4,42,fixed_points,seen,160,320,100.000000,100.000000
transformer-tasks04-seed42,transformer,4,42,to_inversion_vector,seen,160,5462,85.408275,37.500000
transformer-tasks04-seed42,transformer,4,42,pattern_avoidance,pool_unseen,160,320,0.000000,0.000000
transformer-tasks04-seed42,transformer,4,42,lds_length,pool_unseen,160,320,47.812500,0.000000
transformer-tasks04-seed42,transformer,4,42,right_multiply_simple,pool_unseen,156,5144,54.665630,5.128205
transformer-tasks04-seed42,transformer,4,42,conjugate,pool_unseen,109,3550,9.549296,0.000000
transformer-tasks04-seed42,transformer,4,42,to_cycle,pool_unseen,160,5756,43.328700,0.000000
transformer-tasks04-seed42,transformer,4,42,descents,pool_unseen,160,320,48.437500,0.000000
transformer-tasks04-seed42,transformer,4,42,commutator,pool_unseen,110,3816,8.936059,0.000000
transformer-tasks04-seed42,transformer,4,42,length,pool_unseen,160,485,15.876289,1.250000
transformer-tasks04-seed42,transformer,4,42,rsk_shape,pool_unseen,160,2074,41.513983,0.000000
transformer-tasks04-seed42,transformer,4,42,inverse,pool_unseen,160,5594,50.875939,0.000000
transformer-tasks04-seed42,transformer,4,42,cycle_type,pool_unseen,160,1358,35.051546,0.000000
transformer-tasks04-seed42,transformer,4,42,bruhat_leq,pool_unseen,158,316,0.000000,0.000000
transformer-tasks04-seed42,transformer,4,42,to_reduced_word,fixed_holdout,47,7862,11.676418,0.000000
transformer-tasks04-seed42,transformer,4,42,compose,fixed_holdout,108,3784,8.324524,0.000000
transformer-tasks04-seed42,transformer,4,42,parity,fixed_holdout,160,320,50.000000,0.000000
transformer-tasks04-seed42,transformer,4,42,to_lehmer,fixed_holdout,160,5508,52.668845,0.000000
transformer-tasks04-seed314159,transformer,4,314159,power,seen,156,5324,67.129977,12.820513
transformer-tasks04-seed314159,transformer,4,314159,lis_length,seen,160,320,83.437500,66.875000
transformer-tasks04-seed314159,transformer,4,314159,fixed_points,seen,160,320,99.687500,99.375000
transformer-tasks04-seed314159,transformer,4,314159,to_inversion_vector,seen,160,5462,83.668986,35.000000
transformer-tasks04-seed314159,transformer,4,314159,pattern_avoidance,pool_unseen,160,320,2.500000,0.000000
transformer-tasks04-seed314159,transformer,4,314159,lds_length,pool_unseen,160,320,49.687500,0.000000
transformer-tasks04-seed314159,transformer,4,314159,right_multiply_simple,pool_unseen,156,5144,55.559876,0.000000
transformer-tasks04-seed314159,transformer,4,314159,conjugate,pool_unseen,109,3550,10.929577,0.917431
transformer-tasks04-seed314159,transformer,4,314159,to_cycle,pool_unseen,160,5756,41.643502,0.000000
transformer-tasks04-seed314159,transformer,4,314159,descents,pool_unseen,160,320,47.187500,0.000000
transformer-tasks04-seed314159,transformer,4,314159,commutator,pool_unseen,110,3816,11.294549,0.909091
transformer-tasks04-seed314159,transformer,4,314159,length,pool_unseen,160,485,16.494845,0.000000
transformer-tasks04-seed314159,transformer,4,314159,rsk_shape,pool_unseen,160,2074,37.704918,0.000000
transformer-tasks04-seed314159,transformer,4,314159,inverse,pool_unseen,160,5594,50.750804,0.000000
transformer-tasks04-seed314159,transformer,4,314159,cycle_type,pool_unseen,160,1358,29.528719,0.000000
transformer-tasks04-seed314159,transformer,4,314159,bruhat_leq,pool_unseen,158,316,2.848101,0.000000
transformer-tasks04-seed314159,transformer,4,314159,to_reduced_word,fixed_holdout,47,7862,11.574663,0.000000
transformer-tasks04-seed314159,transformer,4,314159,compose,fixed_holdout,108,3784,10.887949,0.000000
transformer-tasks04-seed314159,transformer,4,314159,parity,fixed_holdout,160,320,50.000000,0.000000
transformer-tasks04-seed314159,transformer,4,314159,to_lehmer,fixed_holdout,160,5508,52.414670,0.000000
transformer-tasks08-seed17,transformer,8,17,power,seen,156,5324,67.017280,14.102564
transformer-tasks08-seed17,transformer,8,17,lis_length,seen,160,320,85.312500,70.625000
transformer-tasks08-seed17,transformer,8,17,fixed_points,seen,160,320,99.687500,99.375000
transformer-tasks08-seed17,transformer,8,17,to_inversion_vector,seen,160,5462,77.608934,23.125000
transformer-tasks08-seed17,transformer,8,17,pattern_avoidance,seen,160,320,99.687500,99.375000
transformer-tasks08-seed17,transformer,8,17,lds_length,seen,160,320,82.500000,65.000000
transformer-tasks08-seed17,transformer,8,17,right_multiply_simple,seen,156,5144,92.048989,26.282051
transformer-tasks08-seed17,transformer,8,17,conjugate,seen,109,3550,62.394366,7.339450
transformer-tasks08-seed17,transformer,8,17,to_cycle,pool_unseen,160,5756,44.996525,0.000000
transformer-tasks08-seed17,transformer,8,17,descents,pool_unseen,160,320,50.000000,0.000000
