model_kind,run_id,architecture,condition,model_seed,trained_tasks,probe_task,probe_task_family,layer,selected_ridge_alpha,tuning_length_conditioned_r2,probe_train_examples,probe_tune_examples,probe_test_examples,length_conditioned_r2,pearson_r,normalized_rmse,exact_accuracy,length_mode_baseline_accuracy,exact_accuracy_minus_baseline
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,longest_cycle,cycle,block_01,0.1,0.0471612656466468,6144,2048,8192,0.048428664311484404,0.22324696666904417,0.9778154833653586,0.1590576171875,0.1644287109375,-0.00537109375
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,shortest_cycle,cycle,block_01,0.01,0.052682461073733755,6144,2048,8192,0.061690676498507346,0.24855502125411894,0.9726005409019199,0.177734375,0.6358642578125,-0.4581298828125
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,nontrivial_cycle_count,cycle,block_01,0.01,0.054763582026126745,6144,2048,8192,0.04585637402430831,0.21428140660541414,0.9912085757605972,0.445556640625,0.4312744140625,0.0142822265625
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,lis_length,global_run,block_01,1e-05,0.35690598771704507,6144,2048,8192,0.3505121344671286,0.592418893862686,0.8241855629553233,0.451416015625,0.39697265625,0.054443359375
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,lds_length,global_run,block_01,1e-05,0.3506282895019953,6144,2048,8192,0.36956356814249636,0.6078819307279818,0.8234684813209098,0.4598388671875,0.396484375,0.0633544921875
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,longest_increasing_run,global_run,block_01,0.0001,0.1559844638376967,6144,2048,8192,0.14022519174568882,0.37605805255765634,0.9904643513968432,0.480712890625,0.5040283203125,-0.0233154296875
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,longest_decreasing_run,global_run,block_01,0.001,0.12694684027876812,6144,2048,8192,0.15116959609951208,0.3911842470853225,1.0156059687565135,0.48681640625,0.5018310546875,-0.0150146484375
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,global_descents,global_run,block_01,1e-06,0.2886733045584021,6144,2048,8192,0.38185568210875565,0.6206760606311392,0.9776459130553453,0.8680419921875,0.8125,0.0555419921875
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,components,global_run,block_01,1e-06,0.2888558998359839,6144,2048,8192,0.33064497465116205,0.5756350830087222,1.015988384990418,0.811767578125,0.804931640625,0.0068359375
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,max_displacement,global_run,block_01,1e-05,0.4361258392775471,6144,2048,8192,0.42879735200018954,0.65485986883347,0.7716839819793736,0.4072265625,0.2574462890625,0.1497802734375
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,displacement_one_count,global_run,block_01,0.0001,0.1603094726890486,6144,2048,8192,0.19869860990578503,0.44582808684321695,0.8861552204488955,0.337646484375,0.3072509765625,0.0303955078125
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,descents,local,block_02,0.0001,0.2673088765459717,6144,2048,8192,0.28395630215566703,0.5331114308851633,0.8639940532523236,0.3990478515625,0.3338623046875,0.065185546875
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,recoils,local,block_02,0.0001,0.2554815080968622,6144,2048,8192,0.28930423238242975,0.5379711934977801,0.8529134581094246,0.4102783203125,0.33642578125,0.0738525390625
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,peaks,local,block_02,0.001,0.099310233127059,6144,2048,8192,0.11960632006611704,0.34825178437988397,0.9262842161114961,0.4815673828125,0.4635009765625,0.01806640625
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,valleys,local,block_02,0.001,0.16121261467339276,6144,2048,8192,0.13355048632421895,0.36679154219009663,0.9239888475059679,0.4833984375,0.45556640625,0.02783203125
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,double_ascents,local,block_02,0.0001,0.18474954008736955,6144,2048,8192,0.1987441511465644,0.4470134524575251,0.9067524017798639,0.3544921875,0.344482421875,0.010009765625
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,double_descents,local,block_02,0.001,0.15688020684578174,6144,2048,8192,0.15742763465484932,0.39704132966374533,0.9144994263943674,0.35888671875,0.3399658203125,0.0189208984375
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,successions,local,block_02,0.0001,0.22508526716522892,6144,2048,8192,0.21690334666136768,0.4653296632572574,0.944838229184984,0.3974609375,0.398681640625,-0.001220703125
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,adjacencies,local,block_02,0.0001,0.13934634058570106,6144,2048,8192,0.16749865856428747,0.40908007415400344,0.9532896185788082,0.3250732421875,0.329345703125,-0.0042724609375
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,fixed_points,positional,block_02,1e-06,0.4159558984194004,6144,2048,8192,0.3628046470851406,0.6046799893586979,0.80825824856838,0.4691162109375,0.369873046875,0.0992431640625
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,anti_fixed_points,positional,block_02,0.0001,0.27720665831594316,6144,2048,8192,0.23892673198085856,0.4908124629423945,0.8702951700176349,0.416748046875,0.37939453125,0.037353515625
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,exceedances,positional,block_02,0.0001,0.562359109749206,6144,2048,8192,0.5640360054795643,0.7509951467319421,0.6581255093549123,0.501708984375,0.3426513671875,0.1590576171875
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,deficiencies,positional,block_02,0.0001,0.4725400476858338,6144,2048,8192,0.4608515510279557,0.6790365879697066,0.7356157448215599,0.480224609375,0.34033203125,0.139892578125
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,left_to_right_maxima,positional,block_02,0.0001,0.4573256403069169,6144,2048,8192,0.46552045301313383,0.6817905157505423,0.7481233897236256,0.4202880859375,0.3026123046875,0.11767578125
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,left_to_right_minima,positional,block_02,1e-05,0.48122104750387207,6144,2048,8192,0.45617515657460006,0.6763462797343625,0.7269672629592531,0.4373779296875,0.307373046875,0.1300048828125
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,right_to_left_maxima,positional,block_02,0.0001,0.5847735827415838,6144,2048,8192,0.5750776023908868,0.7583136712645887,0.6714557015566925,0.4971923828125,0.3045654296875,0.192626953125
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,right_to_left_minima,positional,block_02,0.0001,0.6716438716774233,6144,2048,8192,0.6669981430092106,0.8166733719474983,0.593034555869735,0.53759765625,0.2933349609375,0.2442626953125
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,cycle_count,cycle,block_02,0.0001,0.2529928383156961,6144,2048,8192,0.2275495266035148,0.48011407590845134,0.8760549312400259,0.365234375,0.3079833984375,0.0572509765625
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,two_cycle_count,cycle,block_02,0.01,0.041647694554266756,6144,2048,8192,0.049213752592972115,0.22178402236784403,0.9849995171511311,0.501220703125,0.6026611328125,-0.1014404296875
