model_kind,architecture,condition,layer,probe_task_family,model_count,length_conditioned_r2_mean,length_conditioned_r2_sample_sd,pearson_r_mean,pearson_r_sample_sd,normalized_rmse_mean,normalized_rmse_sample_sd,exact_accuracy_mean,exact_accuracy_sample_sd,length_mode_baseline_accuracy_mean,length_mode_baseline_accuracy_sample_sd,exact_accuracy_minus_baseline_mean,exact_accuracy_minus_baseline_sample_sd
trained,mlp,algebra_a4,final_norm,cycle,3,0.014033278687335435,0.00141968394794208,0.08485591999006802,0.007977813414160437,0.9969839580550425,0.0007222709197337384,0.358245849609375,0.0015163889463873101,0.4817047119140625,0.0,-0.1234588623046875,0.0015163889463873101
trained,mlp,algebra_a4,final_norm,global_run,3,0.21744888533909715,0.010494658025115254,0.4611762403618629,0.012226922631779958,0.9633799299134628,0.0067530355675632205,0.4783274332682292,0.003680321653624145,0.4976806640625,0.0,-0.019353230794270832,0.003680321653624145
trained,mlp,algebra_a4,final_norm,local,3,0.10033228522605592,0.0021665041961615016,0.3124290579987741,0.003070529987044764,0.9637895845003003,0.0011535492152630188,0.3713480631510417,0.0017551145335149062,0.3752288818359375,0.0,-0.0038808186848958335,0.0017551145335149062
trained,mlp,algebra_a4,final_norm,positional,3,0.19686945730644922,0.024110378626925066,0.4333153484806244,0.030171849318795164,0.9029930967283715,0.013219869855805656,0.3565572102864583,0.007269020833717821,0.33001708984375,0.0,0.026540120442708332,0.007269020833717821
trained,mlp,encoding_e4,block_01,all,3,0.17917336659324934,0.020440499739821955,0.38685318592486034,0.027975436205573287,0.9291209913716284,0.012257454843654564,0.43606313069661456,0.009061540422750147,0.4211578369140625,0.0,0.014905293782552084,0.009061540422750147
trained,mlp,encoding_e4,block_01,cycle,3,0.06306548426175808,0.009831418819196573,0.22201140703125122,0.027548403575259152,0.9715326453602597,0.005147142963328511,0.3895314534505208,0.011295475991425961,0.4817047119140625,0.0,-0.09217325846354167,0.011295475991425961
trained,mlp,encoding_e4,block_01,global_run,3,0.22302934840772703,0.031463866039055176,0.45840882351875667,0.03478473773899343,0.9610678854748015,0.019537651682211013,0.5318094889322916,0.011608522625390416,0.4976806640625,0.0,0.034128824869791664,0.011608522625390416
trained,mlp,encoding_e4,block_01,local,3,0.09274880880664192,0.017792905882699377,0.30282449912864834,0.031070437812098263,0.9682193620398231,0.009545022336118434,0.395111083984375,0.006556540263717207,0.3752288818359375,0.0,0.0198822021484375,0.006556540263717207
trained,mlp,encoding_e4,block_01,positional,3,0.3378498248968704,0.02538076808275551,0.5641680140207853,0.02485304243358392,0.815664072611629,0.01633546914922621,0.4278004964192708,0.008462678119425056,0.33001708984375,0.0,0.09778340657552083,0.008462678119425056
trained,mlp,encoding_e4,embedding,all,3,-4.625929269271485e-18,1.2184297266557863e-17,-0.0005727538157727839,0.0007853383458469252,1.0302822599035701,0.0,0.3819007873535156,0.0,0.4211578369140625,0.0,-0.039257049560546875,0.0
