model_kind,run_id,architecture,condition,model_seed,layer,probe_task_family,probe_task_count,length_conditioned_r2,pearson_r,normalized_rmse,exact_accuracy,length_mode_baseline_accuracy,exact_accuracy_minus_baseline
random,random-mlp-seed42,mlp,random_init,42,final_norm,positional,8,0.011775179519195322,0.10401852067769686,1.0035080528445162,0.339996337890625,0.33001708984375,0.009979248046875
random,random-transformer-seed17,transformer,random_init,17,block_01,all,32,0.13534302300926399,0.3382464252018499,0.956527389110475,0.43354034423828125,0.4211578369140625,0.01238250732421875
random,random-transformer-seed17,transformer,random_init,17,block_01,cycle,8,0.10949225572989094,0.2919389545250146,0.9462514840664032,0.39959716796875,0.4817047119140625,-0.0821075439453125
random,random-transformer-seed17,transformer,random_init,17,block_01,global_run,8,0.14598362247363894,0.3650158365219982,1.0079165623700728,0.5288543701171875,0.4976806640625,0.0311737060546875
random,random-transformer-seed17,transformer,random_init,17,block_01,local,8,0.05241321389760978,0.22379312182655803,0.9898145782768979,0.38629150390625,0.3752288818359375,0.0110626220703125
random,random-transformer-seed17,transformer,random_init,17,block_01,positional,8,0.23348299993591626,0.47223778793382876,0.8821269317285259,0.4194183349609375,0.33001708984375,0.0894012451171875
random,random-transformer-seed17,transformer,random_init,17,block_02,all,32,0.2138983569068079,0.41850399511868397,0.9085760160275127,0.45090484619140625,0.4211578369140625,0.02974700927734375
random,random-transformer-seed17,transformer,random_init,17,block_02,cycle,8,0.10982693210663272,0.28066448279903966,0.9458640928800951,0.4027862548828125,0.4817047119140625,-0.07891845703125
random,random-transformer-seed17,transformer,random_init,17,block_02,global_run,8,0.27881755776730577,0.5116191903899628,0.9263464224517683,0.5552520751953125,0.4976806640625,0.0575714111328125
random,random-transformer-seed17,transformer,random_init,17,block_02,local,8,0.08055700305006079,0.26849908030565095,0.9746575040400076,0.3903961181640625,0.3752288818359375,0.015167236328125
random,random-transformer-seed17,transformer,random_init,17,block_02,positional,8,0.38639193470323224,0.6132332269800826,0.7874360447381797,0.4551849365234375,0.33001708984375,0.1251678466796875
random,random-transformer-seed17,transformer,random_init,17,block_03,all,32,0.22811753327755738,0.4331006210294591,0.8990787993931738,0.4544486999511719,0.4211578369140625,0.033290863037109375
random,random-transformer-seed17,transformer,random_init,17,block_03,cycle,8,0.10627895599185798,0.2822839473382192,0.9478526348322557,0.401458740234375,0.4817047119140625,-0.0802459716796875
random,random-transformer-seed17,transformer,random_init,17,block_03,global_run,8,0.2963540205996154,0.5289698529305006,0.9144770459558402,0.559600830078125,0.4976806640625,0.061920166015625
random,random-transformer-seed17,transformer,random_init,17,block_03,local,8,0.08613750531144537,0.278139398042769,0.9716229769859814,0.3928985595703125,0.3752288818359375,0.017669677734375
random,random-transformer-seed17,transformer,random_init,17,block_03,positional,8,0.42369965120731073,0.6430092858063479,0.7623625397986178,0.463836669921875,0.33001708984375,0.133819580078125
random,random-transformer-seed17,transformer,random_init,17,block_04,all,32,0.22635561392442505,0.4295961441325766,0.8999040818469968,0.45325469970703125,0.4211578369140625,0.03209686279296875
random,random-transformer-seed17,transformer,random_init,17,block_04,cycle,8,0.09854668293657627,0.2671505593625874,0.952217551046387,0.3987884521484375,0.4817047119140625,-0.082916259765625
random,random-transformer-seed17,transformer,random_init,17,block_04,global_run,8,0.2995270763661453,0.5312493901054735,0.9122780247627277,0.55963134765625,0.4976806640625,0.06195068359375
random,random-transformer-seed17,transformer,random_init,17,block_04,local,8,0.08637769789739443,0.2797390181722905,0.9714709402228132,0.3918304443359375,0.3752288818359375,0.0166015625
random,random-transformer-seed17,transformer,random_init,17,block_04,positional,8,0.4209709984975841,0.6402456088899549,0.763649811356059,0.4627685546875,0.33001708984375,0.13275146484375
random,random-transformer-seed17,transformer,random_init,17,embedding,all,32,6.938893903907228e-18,-0.0006277996855536814,1.0302822599035701,0.3819007873535156,0.4211578369140625,-0.039257049560546875
random,random-transformer-seed17,transformer,random_init,17,embedding,cycle,8,1.3877787807814457e-17,-0.0024836796401564616,1.0040621451047635,0.359466552734375,0.4817047119140625,-0.1222381591796875
random,random-transformer-seed17,transformer,random_init,17,embedding,global_run,8,0.0,-0.0025998345679339916,1.0908257061107252,0.4667816162109375,0.4976806640625,-0.0308990478515625
random,random-transformer-seed17,transformer,random_init,17,embedding,local,8,1.3877787807814457e-17,0.0025655310246430795,1.0167965545539535,0.3724822998046875,0.3752288818359375,-0.00274658203125
random,random-transformer-seed17,transformer,random_init,17,embedding,positional,8,0.0,6.784441232648205e-06,1.0094446338448388,0.3288726806640625,0.33001708984375,-0.0011444091796875
random,random-transformer-seed17,transformer,random_init,17,final_norm,all,32,0.22591605804476042,0.4288555941264643,0.9001658971399964,0.453033447265625,0.4211578369140625,0.0318756103515625
random,random-transformer-seed17,transformer,random_init,17,final_norm,cycle,8,0.09821059222098116,0.26631339217080985,0.9523976958876444,0.398651123046875,0.4817047119140625,-0.0830535888671875
random,random-transformer-seed17,transformer,random_init,17,final_norm,global_run,8,0.29870156730455044,0.5306837899473524,0.9128047427883571,0.5573272705078125,0.4976806640625,0.0596466064453125
random,random-transformer-seed17,transformer,random_init,17,final_norm,local,8,0.08556798541804884,0.278139328594991,0.9719053404499549,0.3923797607421875,0.3752288818359375,0.01715087890625
