architecture,condition,layer,probe_task_family,seed_count,length_conditioned_r2_delta_mean,length_conditioned_r2_delta_sample_sd,pearson_r_delta_mean,pearson_r_delta_sample_sd,normalized_rmse_delta_mean,normalized_rmse_delta_sample_sd,exact_accuracy_delta_mean,exact_accuracy_delta_sample_sd,length_mode_baseline_accuracy_delta_mean,length_mode_baseline_accuracy_delta_sample_sd,exact_accuracy_minus_baseline_delta_mean,exact_accuracy_minus_baseline_delta_sample_sd
transformer,encoding_e4,final_norm,positional,3,0.14232942390467931,0.03567350873147832,0.10352783300641925,0.023804934646597525,-0.10584905615632945,0.028185478916649537,0.0449066162109375,0.018571037066105432,0.0,0.0,0.0449066162109375,0.018571037066105432
transformer,encoding_e4,final_norm,cycle,3,0.01922536580782812,0.006683977395128998,0.04952582295893556,0.008812095369911439,-0.010123953302527097,0.003684175853006107,0.009877522786458334,0.002689286720190142,0.0,0.0,0.009877522786458334,0.002689286720190142
transformer,encoding_e4,final_norm,global_run,3,0.18828278951649965,0.0153532756201631,0.162013548314645,0.012239456148012789,-0.13847496806721346,0.011388327828260731,0.029398600260416668,0.0014727959419057349,0.0,0.0,0.029398600260416668,0.0014727959419057349
transformer,encoding_e4,final_norm,all,3,0.13349044658871034,0.01519617272896994,0.13854990536969156,0.012444146456665127,-0.08964858159897,0.011221967688090858,0.026728312174479168,0.005447631228548056,0.0,0.0,0.026728312174479168,0.005447631228548056
transformer,statistics_s4,embedding,local,3,-1.850371707708594e-17,4.461084631790955e-17,0.0002905219393022315,0.0007107144450056942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transformer,statistics_s4,embedding,positional,3,9.25185853854297e-18,1.6024689053196365e-17,0.0009237801601635916,0.0007826385545113267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transformer,statistics_s4,embedding,cycle,3,1.3877787807814457e-17,1.3877787807814457e-17,0.00010509188290306114,0.0003164599471253475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transformer,statistics_s4,embedding,global_run,3,0.0,0.0,-2.0582571624511794e-05,0.0019797262798349467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transformer,statistics_s4,embedding,all,3,1.1564823173178713e-18,1.6395966619996874e-17,0.00032470285268609324,0.0005335961435623751,-1.4802973661668753e-16,1.2819751242557092e-16,0.0,0.0,0.0,0.0,0.0,0.0
transformer,statistics_s4,block_01,local,3,0.13663740545897265,0.0182918791027925,0.20961965003616537,0.018325267542827515,-0.07480419635582518,0.010782667611064655,0.016642252604166668,0.004285664818304163,0.0,0.0,0.016642252604166668,0.004285664818304163
transformer,statistics_s4,block_01,positional,3,0.28065774615481764,0.006957498636512478,0.2443532038231473,0.0106649776503597,-0.18222249692749437,0.0061815194654194485,0.0684356689453125,0.004797742794643385,0.0,0.0,0.0684356689453125,0.004797742794643385
transformer,statistics_s4,block_01,cycle,3,0.008518755449073273,0.012152159277124503,0.032585407494356566,0.021251513222391313,-0.004006691911828601,0.006545075586983756,0.009206136067708334,0.004788983365121247,0.0,0.0,0.009206136067708334,0.004788983365121247
transformer,statistics_s4,block_01,global_run,3,0.2543596771598664,0.010747601501137377,0.26268257314850263,0.008164671980360059,-0.1664703209293872,0.010942678069808089,0.042261759440104164,0.006869410126213089,0.0,0.0,0.042261759440104164,0.006869410126213089
transformer,statistics_s4,block_01,all,3,0.1700433960556825,0.005278263335305293,0.187310208625543,0.0015558089405040742,-0.10687592653113387,0.005425752945314761,0.034136454264322914,0.004026073373424088,0.0,0.0,0.034136454264322914,0.004026073373424088
transformer,statistics_s4,block_02,local,3,0.30275725485265254,0.002146902263742439,0.34403034735844623,0.0016463174202451338,-0.17939857335067963,0.0016327375161081905,0.0545501708984375,0.0016920751830257529,0.0,0.0,0.0545501708984375,0.0016920751830257529
transformer,statistics_s4,block_02,positional,3,0.24681805268503987,0.012914594954502472,0.17374545520427317,0.007392479378430767,-0.18987781947314586,0.012253708087521997,0.09554036458333333,0.012584064356883102,0.0,0.0,0.09554036458333333,0.012584064356883102
transformer,statistics_s4,block_02,cycle,3,0.053048581732620566,0.013224359824138195,0.09528621656302204,0.012093088305799814,-0.029188813718575585,0.007773434409117556,0.020131429036458332,0.0030360517060530434,0.0,0.0,0.020131429036458332,0.0030360517060530434
transformer,statistics_s4,block_02,global_run,3,0.2881589745799728,0.010503978950788464,0.2376866714521273,0.007821089420427791,-0.21484837020749034,0.00832936893490314,0.06484476725260417,0.0005914298242248724,0.0,0.0,0.06484476725260417,0.0005914298242248724
transformer,statistics_s4,block_02,all,3,0.22269571596257146,0.009294951404866535,0.2126871726444672,0.006474453381342401,-0.15332839418747282,0.006979577584190023,0.058766682942708336,0.0041979462290489865,0.0,0.0,0.058766682942708336,0.0041979462290489865
transformer,statistics_s4,block_03,local,3,0.3052347183744647,0.007149127560832587,0.34291125548364004,0.006385151377755656,-0.18138619600030736,0.004552282082068622,0.053644816080729164,0.001493907403300784,0.0,0.0,0.053644816080729164,0.001493907403300784
transformer,statistics_s4,block_03,positional,3,0.2267589505519825,0.026444911018783934,0.15676982194388012,0.017214952473799706,-0.1776402847639529,0.022869383259212703,0.09003702799479167,0.015709086993641666,0.0,0.0,0.09003702799479167,0.015709086993641666
transformer,statistics_s4,block_03,cycle,3,0.06691139858381595,0.011500478694247349,0.11492478495680238,0.014902770787529874,-0.03692152479081323,0.00673300235257892,0.024993896484375,0.0025219044117589197,0.0,0.0,0.024993896484375,0.0025219044117589197
transformer,statistics_s4,block_03,global_run,3,0.2816213261593787,0.00827454671276568,0.22871829705876448,0.007061796258286142,-0.21221825385699974,0.006391485480777865,0.06387837727864583,0.0036839891189848284,0.0,0.0,0.06387837727864583,0.0036839891189848284
transformer,statistics_s4,block_03,all,3,0.22013159841741045,0.012626448384995543,0.21083103986077179,0.01047558105419348,-0.15204156485301834,0.009679711619887066,0.058138529459635414,0.004240701914560693,0.0,0.0,0.058138529459635414,0.004240701914560693
transformer,statistics_s4,block_04,local,3,0.2923504510628147,0.009760876132682705,0.33181478785915347,0.008863379729112317,-0.17295327352460854,0.006171501424332452,0.050272623697916664,0.0004348977958802429,0.0,0.0,0.050272623697916664,0.0004348977958802429
transformer,statistics_s4,block_04,positional,3,0.22573837036158095,0.03282811240315395,0.15697257525245448,0.02078551791776762,-0.1749014579614149,0.028954688371965177,0.090728759765625,0.022851920328843624,0.0,0.0,0.090728759765625,0.022851920328843624
transformer,statistics_s4,block_04,cycle,3,0.09047374136017335,0.019444183897954714,0.14404495336462114,0.020398936752069552,-0.050472162653602215,0.011349130002639032,0.035868326822916664,0.006600662439072957,0.0,0.0,0.035868326822916664,0.006600662439072957
transformer,statistics_s4,block_04,global_run,3,0.26776354327262764,0.013941743181685323,0.21921305561007667,0.010741075164015472,-0.19994463521448058,0.010553296024469347,0.060099283854166664,0.002865254980878664,0.0,0.0,0.060099283854166664,0.002865254980878664
transformer,statistics_s4,block_04,all,3,0.21908152651429913,0.018384074514131227,0.21301134302157645,0.014800046137930237,-0.1495678823385266,0.013722579685690964,0.05924224853515625,0.007621370864766526,0.0,0.0,0.05924224853515625,0.007621370864766526
transformer,statistics_s4,final_norm,local,3,0.27896679867882634,0.00852165864756034,0.32214036504643545,0.00814563421742024,-0.16411082728088613,0.005276628808185541,0.0493011474609375,0.0013708304508327723,0.0,0.0,0.0493011474609375,0.0013708304508327723
