comparison,architecture,pool_a,task_count_a,run_id_a,pool_b,task_count_b,run_id_b,layer,probe_examples,linear_cka
within_pool_k16_alignment,transformer,b,1,property-b-transformer-tasks01-seed101,b,16,property-b-transformer-tasks16-seed101,block_02,4096,0.7079735189422043
within_pool_k16_alignment,transformer,b,1,property-b-transformer-tasks01-seed101,b,16,property-b-transformer-tasks16-seed101,block_03,4096,0.5600960835381957
within_pool_k16_alignment,transformer,b,1,property-b-transformer-tasks01-seed101,b,16,property-b-transformer-tasks16-seed101,block_04,4096,0.28645606391216366
within_pool_k16_alignment,transformer,b,1,property-b-transformer-tasks01-seed101,b,16,property-b-transformer-tasks16-seed101,final_norm,4096,0.2539066936553806
within_pool_k16_alignment,transformer,b,2,property-b-transformer-tasks02-seed101,b,16,property-b-transformer-tasks16-seed101,embedding,4096,0.8910395470724022
within_pool_k16_alignment,transformer,b,2,property-b-transformer-tasks02-seed101,b,16,property-b-transformer-tasks16-seed101,block_01,4096,0.657948859782982
within_pool_k16_alignment,transformer,b,2,property-b-transformer-tasks02-seed101,b,16,property-b-transformer-tasks16-seed101,block_02,4096,0.5441560489770453
within_pool_k16_alignment,transformer,b,2,property-b-transformer-tasks02-seed101,b,16,property-b-transformer-tasks16-seed101,block_03,4096,0.6063268889870919
within_pool_k16_alignment,transformer,b,2,property-b-transformer-tasks02-seed101,b,16,property-b-transformer-tasks16-seed101,block_04,4096,0.4228126985017375
within_pool_k16_alignment,transformer,b,2,property-b-transformer-tasks02-seed101,b,16,property-b-transformer-tasks16-seed101,final_norm,4096,0.426560223264314
within_pool_k16_alignment,transformer,b,4,property-b-transformer-tasks04-seed101,b,16,property-b-transformer-tasks16-seed101,embedding,4096,0.8769416089714288
within_pool_k16_alignment,transformer,b,4,property-b-transformer-tasks04-seed101,b,16,property-b-transformer-tasks16-seed101,block_01,4096,0.6316618546758084
within_pool_k16_alignment,transformer,b,4,property-b-transformer-tasks04-seed101,b,16,property-b-transformer-tasks16-seed101,block_02,4096,0.6788381529740991
within_pool_k16_alignment,transformer,b,4,property-b-transformer-tasks04-seed101,b,16,property-b-transformer-tasks16-seed101,block_03,4096,0.6161093484641199
within_pool_k16_alignment,transformer,b,4,property-b-transformer-tasks04-seed101,b,16,property-b-transformer-tasks16-seed101,block_04,4096,0.5366772157381382
within_pool_k16_alignment,transformer,b,4,property-b-transformer-tasks04-seed101,b,16,property-b-transformer-tasks16-seed101,final_norm,4096,0.5723557379411507
within_pool_k16_alignment,transformer,b,8,property-b-transformer-tasks08-seed101,b,16,property-b-transformer-tasks16-seed101,embedding,4096,0.8916407801435275
within_pool_k16_alignment,transformer,b,8,property-b-transformer-tasks08-seed101,b,16,property-b-transformer-tasks16-seed101,block_01,4096,0.7097449215236943
within_pool_k16_alignment,transformer,b,8,property-b-transformer-tasks08-seed101,b,16,property-b-transformer-tasks16-seed101,block_02,4096,0.6710727573289036
within_pool_k16_alignment,transformer,b,8,property-b-transformer-tasks08-seed101,b,16,property-b-transformer-tasks16-seed101,block_03,4096,0.6608093849490363
within_pool_k16_alignment,transformer,b,8,property-b-transformer-tasks08-seed101,b,16,property-b-transformer-tasks16-seed101,block_04,4096,0.6451077749607764
within_pool_k16_alignment,transformer,b,8,property-b-transformer-tasks08-seed101,b,16,property-b-transformer-tasks16-seed101,final_norm,4096,0.6464412497558218
random_cross_seed,transformer,random,0,random-transformer-seed17,random,0,random-transformer-seed42,embedding,4096,0.890711421264754
random_cross_seed,transformer,random,0,random-transformer-seed17,random,0,random-transformer-seed42,block_01,4096,0.8928308263471024
random_cross_seed,transformer,random,0,random-transformer-seed17,random,0,random-transformer-seed42,block_02,4096,0.9047736504334951
random_cross_seed,transformer,random,0,random-transformer-seed17,random,0,random-transformer-seed42,block_03,4096,0.9022382209991915
random_cross_seed,transformer,random,0,random-transformer-seed17,random,0,random-transformer-seed42,block_04,4096,0.8917387308470548
random_cross_seed,transformer,random,0,random-transformer-seed17,random,0,random-transformer-seed42,final_norm,4096,0.8850689663595961
