comparison,architecture,trained_task_count,reference_task_count,layer,pair_count,cka_mean,cka_sample_sd,cka_min,cka_max
k16_alignment,mlp,8,16,final_norm,3,0.6090779310811251,0.1746344984186665,0.4476919578359392,0.7944759021491461
k16_alignment,transformer,1,16,block_01,3,0.47908397856311596,0.12026542294829817,0.37344063635155195,0.6099657876505261
k16_alignment,transformer,1,16,block_02,3,0.48585584015456657,0.05954088439777895,0.41824677884003997,0.5304713853801354
k16_alignment,transformer,1,16,block_03,3,0.5275499476061084,0.07366125917014883,0.4604483362981842,0.6063667606214673
k16_alignment,transformer,1,16,block_04,3,0.3936326985086212,0.049968141324859466,0.35042551621555884,0.44835229328152143
k16_alignment,transformer,1,16,embedding,3,0.7201540002386156,0.03148793022289245,0.699624773653887,0.756407128140253
k16_alignment,transformer,1,16,final_norm,3,0.4265673126880249,0.06359737225981897,0.37356863128745804,0.4970891542907434
k16_alignment,transformer,2,16,block_01,3,0.7860656138448715,0.13323750856554084,0.632216217638914,0.8630687596967688
k16_alignment,transformer,2,16,block_02,3,0.7837934162373258,0.06540527895069334,0.708339803035623,0.8243335315172727
k16_alignment,transformer,2,16,block_03,3,0.7303146824041434,0.03168016217419557,0.6937478302135863,0.7494822272916639
k16_alignment,transformer,2,16,block_04,3,0.5054217387340115,0.13168762002096912,0.3672858661530662,0.6295395596430079
k16_alignment,transformer,2,16,embedding,3,0.8732339982361469,0.031358326710206164,0.8396130793133205,0.901687911315477
k16_alignment,transformer,2,16,final_norm,3,0.5193856390157889,0.12359589095770507,0.40060070097325867,0.6472875828000612
k16_alignment,transformer,4,16,block_01,3,0.7088520375925694,0.11614430364508736,0.5934618867098893,0.8257360822651479
k16_alignment,transformer,4,16,block_02,3,0.7605417833346338,0.08336264168676583,0.6907819637355683,0.8528630171624781
k16_alignment,transformer,4,16,block_03,3,0.7150056193785641,0.0626534797594922,0.6641923474585276,0.7850100924336526
k16_alignment,transformer,4,16,block_04,3,0.5775330514739815,0.06748640660298727,0.5044019214723685,0.6374072724784942
k16_alignment,transformer,4,16,embedding,3,0.9203075601245373,0.027853967065754118,0.8881482162667081,0.9368066760610917
k16_alignment,transformer,4,16,final_norm,3,0.59532370361653,0.10774196352464453,0.47131323574593126,0.6659535301817591
k16_alignment,transformer,8,16,block_01,3,0.665327960174345,0.1584403282230182,0.5123892259583618,0.8287492984487649
k16_alignment,transformer,8,16,block_02,3,0.7192426691898856,0.07671653251292432,0.6465833335833043,0.7994573238647046
k16_alignment,transformer,8,16,block_03,3,0.7150636927941058,0.06269637741153546,0.6549732319730437,0.7800758808827648
