comparison,architecture,pool_a,task_count_a,run_id_a,pool_b,task_count_b,run_id_b,layer,probe_examples,linear_cka
within_pool_k16_alignment,transformer,b,1,property-b-transformer-tasks01-seed17,b,16,property-b-transformer-tasks16-seed17,block_01,4096,0.4432990152009911
within_pool_k16_alignment,transformer,b,1,property-b-transformer-tasks01-seed17,b,16,property-b-transformer-tasks16-seed17,block_02,4096,0.5092140450880844
within_pool_k16_alignment,transformer,b,1,property-b-transformer-tasks01-seed17,b,16,property-b-transformer-tasks16-seed17,block_03,4096,0.49793294751574546
within_pool_k16_alignment,transformer,b,1,property-b-transformer-tasks01-seed17,b,16,property-b-transformer-tasks16-seed17,block_04,4096,0.34533614127328666
within_pool_k16_alignment,transformer,b,1,property-b-transformer-tasks01-seed17,b,16,property-b-transformer-tasks16-seed17,final_norm,4096,0.2865159773517692
within_pool_k16_alignment,transformer,b,2,property-b-transformer-tasks02-seed17,b,16,property-b-transformer-tasks16-seed17,embedding,4096,0.762467787855131
within_pool_k16_alignment,transformer,b,2,property-b-transformer-tasks02-seed17,b,16,property-b-transformer-tasks16-seed17,block_01,4096,0.5454657673170515
within_pool_k16_alignment,transformer,b,2,property-b-transformer-tasks02-seed17,b,16,property-b-transformer-tasks16-seed17,block_02,4096,0.572148523662026
within_pool_k16_alignment,transformer,b,2,property-b-transformer-tasks02-seed17,b,16,property-b-transformer-tasks16-seed17,block_03,4096,0.5051480171000169
within_pool_k16_alignment,transformer,b,2,property-b-transformer-tasks02-seed17,b,16,property-b-transformer-tasks16-seed17,block_04,4096,0.5017628011565737
within_pool_k16_alignment,transformer,b,2,property-b-transformer-tasks02-seed17,b,16,property-b-transformer-tasks16-seed17,final_norm,4096,0.5525468362295246
within_pool_k16_alignment,transformer,b,4,property-b-transformer-tasks04-seed17,b,16,property-b-transformer-tasks16-seed17,embedding,4096,0.8588515233495903
within_pool_k16_alignment,transformer,b,4,property-b-transformer-tasks04-seed17,b,16,property-b-transformer-tasks16-seed17,block_01,4096,0.5814773521629755
within_pool_k16_alignment,transformer,b,4,property-b-transformer-tasks04-seed17,b,16,property-b-transformer-tasks16-seed17,block_02,4096,0.6052644062919851
within_pool_k16_alignment,transformer,b,4,property-b-transformer-tasks04-seed17,b,16,property-b-transformer-tasks16-seed17,block_03,4096,0.5562747794493484
within_pool_k16_alignment,transformer,b,4,property-b-transformer-tasks04-seed17,b,16,property-b-transformer-tasks16-seed17,block_04,4096,0.4803100674671676
within_pool_k16_alignment,transformer,b,4,property-b-transformer-tasks04-seed17,b,16,property-b-transformer-tasks16-seed17,final_norm,4096,0.4277481151344949
within_pool_k16_alignment,transformer,b,8,property-b-transformer-tasks08-seed17,b,16,property-b-transformer-tasks16-seed17,embedding,4096,0.8646192173613624
within_pool_k16_alignment,transformer,b,8,property-b-transformer-tasks08-seed17,b,16,property-b-transformer-tasks16-seed17,block_01,4096,0.664330278662337
within_pool_k16_alignment,transformer,b,8,property-b-transformer-tasks08-seed17,b,16,property-b-transformer-tasks16-seed17,block_02,4096,0.6909890987312004
within_pool_k16_alignment,transformer,b,8,property-b-transformer-tasks08-seed17,b,16,property-b-transformer-tasks16-seed17,block_03,4096,0.721616473845948
within_pool_k16_alignment,transformer,b,8,property-b-transformer-tasks08-seed17,b,16,property-b-transformer-tasks16-seed17,block_04,4096,0.7841195227243319
within_pool_k16_alignment,transformer,b,8,property-b-transformer-tasks08-seed17,b,16,property-b-transformer-tasks16-seed17,final_norm,4096,0.7876738084134116
random_cross_seed,transformer,random,0,random-transformer-seed17,random,0,random-transformer-seed42,embedding,4096,0.890711421264754
random_cross_seed,transformer,random,0,random-transformer-seed17,random,0,random-transformer-seed42,block_01,4096,0.8928308263471024
random_cross_seed,transformer,random,0,random-transformer-seed17,random,0,random-transformer-seed42,block_02,4096,0.9047736504334951
random_cross_seed,transformer,random,0,random-transformer-seed17,random,0,random-transformer-seed42,block_03,4096,0.9022382209991915
random_cross_seed,transformer,random,0,random-transformer-seed17,random,0,random-transformer-seed42,block_04,4096,0.8917387308470548
random_cross_seed,transformer,random,0,random-transformer-seed17,random,0,random-transformer-seed42,final_norm,4096,0.8850689663595961
