comparison,architecture,condition_a,condition_b,layer,pair_count,cka_mean,cka_sample_sd,cka_min,cka_max
disjoint_condition_same_seed,transformer,encoding_e4,algebra_a4,block_01,3,0.54316768286358,0.0676092657276059,0.4677328116055015,0.5982976990289404
disjoint_condition_same_seed,transformer,encoding_e4,algebra_a4,block_02,3,0.486156598500553,0.04872361793857129,0.44079417505730034,0.5376593100016868
disjoint_condition_same_seed,transformer,encoding_e4,algebra_a4,block_03,3,0.4776693147922208,0.05374761785449514,0.41934676827658385,0.5252063016683282
disjoint_condition_same_seed,transformer,encoding_e4,algebra_a4,block_04,3,0.3971913604419716,0.10473008909641392,0.27681353059234426,0.4673940220513896
disjoint_condition_same_seed,transformer,encoding_e4,algebra_a4,embedding,3,0.887680959674564,0.014373870647232995,0.8745737193997201,0.9030526491395949
disjoint_condition_same_seed,transformer,encoding_e4,algebra_a4,final_norm,3,0.4208792565435909,0.09592246098056112,0.31690483478697207,0.5059286548245788
disjoint_condition_same_seed,transformer,encoding_e4,statistics_s4,block_01,3,0.4203014452951162,0.04904196635170775,0.36489550764454864,0.4581410318224789
disjoint_condition_same_seed,transformer,encoding_e4,statistics_s4,block_02,3,0.40315403070167494,0.051050105707324094,0.34969360673468775,0.4513923945044544
disjoint_condition_same_seed,transformer,encoding_e4,statistics_s4,block_03,3,0.3334940227008252,0.054362239264174064,0.28337529308950404,0.3912846839126132
disjoint_condition_same_seed,transformer,encoding_e4,statistics_s4,block_04,3,0.20866928128231996,0.03241393034999085,0.1716996899758537,0.23221370831626637
disjoint_condition_same_seed,transformer,encoding_e4,statistics_s4,embedding,3,0.8292705517129986,0.04873953635667259,0.7929263486498279,0.884656448832251
disjoint_condition_same_seed,transformer,encoding_e4,statistics_s4,final_norm,3,0.227488020259992,0.030466523754239996,0.19588406121769067,0.2566728768749172
disjoint_condition_same_seed,transformer,statistics_s4,algebra_a4,block_01,3,0.5478935061302154,0.08112053374589324,0.4768702416373464,0.636294767991543
disjoint_condition_same_seed,transformer,statistics_s4,algebra_a4,block_02,3,0.5107210063282652,0.025775200047184695,0.4871552577615974,0.5382472143863063
disjoint_condition_same_seed,transformer,statistics_s4,algebra_a4,block_03,3,0.4352944217881201,0.06044382235210239,0.3660618388896298,0.47756530397987124
disjoint_condition_same_seed,transformer,statistics_s4,algebra_a4,block_04,3,0.3114123964229792,0.038378534043079816,0.28118913884078467,0.35459229735783476
disjoint_condition_same_seed,transformer,statistics_s4,algebra_a4,embedding,3,0.7898393835794644,0.08475533157839492,0.7014280595889365,0.8703912224527041
disjoint_condition_same_seed,transformer,statistics_s4,algebra_a4,final_norm,3,0.3246213894116469,0.0568061791880934,0.27668537529207227,0.387364980370271
random_cross_seed,mlp,random_init,random_init,block_01,3,0.7613625477066513,0.016500657114281628,0.7454222363687312,0.7783715938518105
random_cross_seed,mlp,random_init,random_init,embedding,3,0.8947710156023588,0.0054981599281041255,0.8885908768201923,0.8991197255576547
random_cross_seed,mlp,random_init,random_init,final_norm,3,0.7588235077893305,0.016295923801448765,0.7430417830161588,0.7755890535466354
random_cross_seed,transformer,random_init,random_init,block_01,3,0.8426245982882206,0.0024676549207747383,0.8398038383761003,0.8443839853311075
random_cross_seed,transformer,random_init,random_init,block_02,3,0.8630289127814984,0.015890702739279606,0.8521039443249874,0.8812584730930366
random_cross_seed,transformer,random_init,random_init,block_03,3,0.8839584309223795,0.012667092852480978,0.8743786656270645,0.8983204770662578
random_cross_seed,transformer,random_init,random_init,block_04,3,0.8847039238332819,0.004473846073742403,0.8805407229746695,0.8894343197718105
random_cross_seed,transformer,random_init,random_init,embedding,3,0.896554169213089,0.007939500851155292,0.8906762866438797,0.9055860199950057
random_cross_seed,transformer,random_init,random_init,final_norm,3,0.8833474435767771,0.003836611488966155,0.8806564435888229,0.8877406438539005
within_condition_cross_seed,mlp,algebra_a4,algebra_a4,block_01,3,0.2851278785266432,0.10925627303076774,0.1956815149138792,0.4068993842856821
within_condition_cross_seed,mlp,algebra_a4,algebra_a4,embedding,3,0.7544047514013572,0.035768122534528816,0.721530543390254,0.7924941861215711
within_condition_cross_seed,mlp,algebra_a4,algebra_a4,final_norm,3,0.5337474245896621,0.028005153828573326,0.5019507680559725,0.5547465484729756
within_condition_cross_seed,mlp,encoding_e4,encoding_e4,block_01,3,0.49535577541328,0.2429362246937245,0.3477428392332535,0.7757435230827202
within_condition_cross_seed,mlp,encoding_e4,encoding_e4,embedding,3,0.6924595750016728,0.03572535985378323,0.6615942866227703,0.7315945780747393
within_condition_cross_seed,mlp,encoding_e4,encoding_e4,final_norm,3,0.5470626819153385,0.09225013971456743,0.44913693194065607,0.6323298114230413
within_condition_cross_seed,mlp,statistics_s4,statistics_s4,block_01,3,0.8316366886366579,0.0054888724100331686,0.825434827405651,0.8358691705267944
within_condition_cross_seed,mlp,statistics_s4,statistics_s4,embedding,3,0.8939657842434946,0.01693875144007006,0.8751885609590979,0.9080960427140016
within_condition_cross_seed,mlp,statistics_s4,statistics_s4,final_norm,3,0.8448641523469714,0.008005058923917356,0.835701361393676,0.8505007325633899
within_condition_cross_seed,transformer,algebra_a4,algebra_a4,block_01,3,0.7390998031861682,0.14294434068458478,0.6183249609278169,0.8969200865428972
within_condition_cross_seed,transformer,algebra_a4,algebra_a4,block_02,3,0.764618785574415,0.13381443679370889,0.6305486711226761,0.8981760706838328
