comparison,architecture,condition_a,seed_a,run_id_a,layer,condition_b,seed_b,run_id_b,probe_examples,linear_cka
disjoint_condition_same_seed,mlp,encoding_e4,17,category-encoding-e4-mlp-seed17,embedding,algebra_a4,17,category-algebra-a4-mlp-seed17,4096,0.760089071737943
disjoint_condition_same_seed,mlp,encoding_e4,17,category-encoding-e4-mlp-seed17,block_01,algebra_a4,17,category-algebra-a4-mlp-seed17,4096,0.15058586808351834
disjoint_condition_same_seed,mlp,encoding_e4,17,category-encoding-e4-mlp-seed17,final_norm,algebra_a4,17,category-algebra-a4-mlp-seed17,4096,0.20441460574671785
disjoint_condition_same_seed,mlp,encoding_e4,42,category-encoding-e4-mlp-seed42,embedding,algebra_a4,42,category-algebra-a4-mlp-seed42,4096,0.6395577897250317
disjoint_condition_same_seed,mlp,encoding_e4,42,category-encoding-e4-mlp-seed42,block_01,algebra_a4,42,category-algebra-a4-mlp-seed42,4096,0.30569408055081587
disjoint_condition_same_seed,mlp,encoding_e4,42,category-encoding-e4-mlp-seed42,final_norm,algebra_a4,42,category-algebra-a4-mlp-seed42,4096,0.18137977701146654
disjoint_condition_same_seed,mlp,encoding_e4,314159,category-encoding-e4-mlp-seed314159,embedding,algebra_a4,314159,category-algebra-a4-mlp-seed314159,4096,0.626271127082562
disjoint_condition_same_seed,mlp,encoding_e4,314159,category-encoding-e4-mlp-seed314159,block_01,algebra_a4,314159,category-algebra-a4-mlp-seed314159,4096,0.42602548194813455
disjoint_condition_same_seed,mlp,encoding_e4,314159,category-encoding-e4-mlp-seed314159,final_norm,algebra_a4,314159,category-algebra-a4-mlp-seed314159,4096,0.1190720230819809
disjoint_condition_cross_seed,mlp,encoding_e4,17,category-encoding-e4-mlp-seed17,embedding,algebra_a4,42,category-algebra-a4-mlp-seed42,4096,0.6251559463605977
disjoint_condition_cross_seed,mlp,encoding_e4,17,category-encoding-e4-mlp-seed17,block_01,algebra_a4,42,category-algebra-a4-mlp-seed42,4096,0.25134955053734354
disjoint_condition_cross_seed,mlp,encoding_e4,17,category-encoding-e4-mlp-seed17,final_norm,algebra_a4,42,category-algebra-a4-mlp-seed42,4096,0.17666336856653378
disjoint_condition_cross_seed,mlp,encoding_e4,17,category-encoding-e4-mlp-seed17,embedding,algebra_a4,314159,category-algebra-a4-mlp-seed314159,4096,0.6897611655022229
disjoint_condition_cross_seed,mlp,encoding_e4,17,category-encoding-e4-mlp-seed17,block_01,algebra_a4,314159,category-algebra-a4-mlp-seed314159,4096,0.19481807224443748
disjoint_condition_cross_seed,mlp,encoding_e4,17,category-encoding-e4-mlp-seed17,final_norm,algebra_a4,314159,category-algebra-a4-mlp-seed314159,4096,0.16495981115819902
disjoint_condition_cross_seed,mlp,encoding_e4,42,category-encoding-e4-mlp-seed42,embedding,algebra_a4,17,category-algebra-a4-mlp-seed17,4096,0.7576806726852193
disjoint_condition_cross_seed,mlp,encoding_e4,42,category-encoding-e4-mlp-seed42,block_01,algebra_a4,17,category-algebra-a4-mlp-seed17,4096,0.14840440134589553
disjoint_condition_cross_seed,mlp,encoding_e4,42,category-encoding-e4-mlp-seed42,final_norm,algebra_a4,17,category-algebra-a4-mlp-seed17,4096,0.20324481501991626
disjoint_condition_cross_seed,mlp,encoding_e4,42,category-encoding-e4-mlp-seed42,embedding,algebra_a4,314159,category-algebra-a4-mlp-seed314159,4096,0.704235993488706
disjoint_condition_cross_seed,mlp,encoding_e4,42,category-encoding-e4-mlp-seed42,block_01,algebra_a4,314159,category-algebra-a4-mlp-seed314159,4096,0.16708984122093057
disjoint_condition_cross_seed,mlp,encoding_e4,42,category-encoding-e4-mlp-seed42,final_norm,algebra_a4,314159,category-algebra-a4-mlp-seed314159,4096,0.15543802916454538
disjoint_condition_cross_seed,mlp,encoding_e4,314159,category-encoding-e4-mlp-seed314159,embedding,algebra_a4,17,category-algebra-a4-mlp-seed17,4096,0.6431572815254379
disjoint_condition_cross_seed,mlp,encoding_e4,314159,category-encoding-e4-mlp-seed314159,block_01,algebra_a4,17,category-algebra-a4-mlp-seed17,4096,0.26036742955865644
disjoint_condition_cross_seed,mlp,encoding_e4,314159,category-encoding-e4-mlp-seed314159,final_norm,algebra_a4,17,category-algebra-a4-mlp-seed17,4096,0.1563207915427247
disjoint_condition_cross_seed,mlp,encoding_e4,314159,category-encoding-e4-mlp-seed314159,embedding,algebra_a4,42,category-algebra-a4-mlp-seed42,4096,0.5498702136609421
disjoint_condition_cross_seed,mlp,encoding_e4,314159,category-encoding-e4-mlp-seed314159,block_01,algebra_a4,42,category-algebra-a4-mlp-seed42,4096,0.17334205030922936
disjoint_condition_cross_seed,mlp,encoding_e4,314159,category-encoding-e4-mlp-seed314159,final_norm,algebra_a4,42,category-algebra-a4-mlp-seed42,4096,0.13981873638342052
disjoint_condition_same_seed,mlp,statistics_s4,17,category-statistics-s4-mlp-seed17,embedding,algebra_a4,17,category-algebra-a4-mlp-seed17,4096,0.6810008034164818
disjoint_condition_same_seed,mlp,statistics_s4,17,category-statistics-s4-mlp-seed17,block_01,algebra_a4,17,category-algebra-a4-mlp-seed17,4096,0.21866894923961527
disjoint_condition_same_seed,mlp,statistics_s4,17,category-statistics-s4-mlp-seed17,final_norm,algebra_a4,17,category-algebra-a4-mlp-seed17,4096,0.2233611095267356
disjoint_condition_same_seed,mlp,statistics_s4,42,category-statistics-s4-mlp-seed42,embedding,algebra_a4,42,category-algebra-a4-mlp-seed42,4096,0.679491418452419
disjoint_condition_same_seed,mlp,statistics_s4,42,category-statistics-s4-mlp-seed42,block_01,algebra_a4,42,category-algebra-a4-mlp-seed42,4096,0.24560328200260037
disjoint_condition_same_seed,mlp,statistics_s4,42,category-statistics-s4-mlp-seed42,final_norm,algebra_a4,42,category-algebra-a4-mlp-seed42,4096,0.15424661194534997
disjoint_condition_same_seed,mlp,statistics_s4,314159,category-statistics-s4-mlp-seed314159,embedding,algebra_a4,314159,category-algebra-a4-mlp-seed314159,4096,0.7817817900337992
disjoint_condition_same_seed,mlp,statistics_s4,314159,category-statistics-s4-mlp-seed314159,block_01,algebra_a4,314159,category-algebra-a4-mlp-seed314159,4096,0.34659489435766033
disjoint_condition_same_seed,mlp,statistics_s4,314159,category-statistics-s4-mlp-seed314159,final_norm,algebra_a4,314159,category-algebra-a4-mlp-seed314159,4096,0.1668044187398321
disjoint_condition_cross_seed,mlp,statistics_s4,17,category-statistics-s4-mlp-seed17,embedding,algebra_a4,42,category-algebra-a4-mlp-seed42,4096,0.6891634252562804
disjoint_condition_cross_seed,mlp,statistics_s4,17,category-statistics-s4-mlp-seed17,block_01,algebra_a4,42,category-algebra-a4-mlp-seed42,4096,0.27471225257261467
disjoint_condition_cross_seed,mlp,statistics_s4,17,category-statistics-s4-mlp-seed17,final_norm,algebra_a4,42,category-algebra-a4-mlp-seed42,4096,0.1656787954354821
disjoint_condition_cross_seed,mlp,statistics_s4,17,category-statistics-s4-mlp-seed17,embedding,algebra_a4,314159,category-algebra-a4-mlp-seed314159,4096,0.7744203641355302
