shots,initialization,architecture,base_trained_task_count,task,seed_count,loss_mean,loss_sample_sd,token_accuracy_mean,token_accuracy_sample_sd,sequence_accuracy_mean,sequence_accuracy_sample_sd
20,pretrained,transformer,16,to_reduced_word,3,1.9667889748924565,0.10427430927936064,0.51768369462898112,0.00918051820283944,0,0
20,pretrained,transformer,16,compose,3,1.7565549115357471,0.094454784900040334,0.51206030545443115,0.0099036216389952608,0,0
20,pretrained,transformer,16,parity,3,0.82881060591141387,0.25063862169708373,0.74870000000000003,0.009578622030334048,0.49740000000000001,0.019157244060668002
20,pretrained,transformer,16,to_lehmer,3,1.3700040098467989,0.032902083108644287,0.58733411967129523,0.0092453413367999168,0.0023333333333333335,0.0032145502536643183
20,random,transformer,0,to_reduced_word,3,1.7011150516340454,0.0015032409300945032,0.54795319196832259,0.0035364736596730281,0.012666666666666666,0.011746205060926414
20,random,transformer,0,compose,3,2.1532518806029515,0.04819659623360812,0.52442889289459116,0.00094687095010041907,0.008666666666666668,0.0089584224801765935
20,random,transformer,0,parity,3,1.2986667277018229,0.14465711688528693,0.74803333333333333,0.0053947505348563678,0.49606666666666666,0.010789501069712791
20,random,transformer,0,to_lehmer,3,1.6952446030900898,0.020352456341284735,0.59377664109121908,0.0032190789658397964,0.015133333333333332,0.010844968111217908
20,random,mlp,0,to_reduced_word,3,2.1537272305490731,0.017779586979748879,0.52550147397495195,0.00067992311334918792,0.0078666666666666659,0.0086932924334416212
20,random,mlp,0,compose,3,2.3131527215674375,0.047206357981479173,0.52492764209443254,0.00094105048172346724,0.005933333333333333,0.0044241760061432154
20,random,mlp,0,parity,3,1.1842731292724611,0.13057766424623146,0.74646666666666661,0.0035837596645608497,0.49293333333333339,0.007167519329121734
20,random,mlp,0,to_lehmer,3,1.8072167694850083,0.012840416188610433,0.57909508850194824,0.0037635275358268083,0.013066666666666666,0.012241459607960699
100,pretrained,mlp,1,to_reduced_word,3,8.6392215434672828,0.50223661891285665,0.024522407243702676,0.00054655235816568142,0,0
100,pretrained,mlp,1,compose,3,9.1202528405958319,0.35150497643286516,0.021831077180456886,0.00099989973457362941,0,0
100,pretrained,mlp,1,parity,3,6.1846856196085609,0.59633084305168182,0.5343,9.9999999999988987e-05,0.068599999999999994,0.00019999999999999879
100,pretrained,mlp,1,to_lehmer,3,9.8626884923730458,0.46416818518673431,0.014193010934768983,0.0069798021174402626,0,0
100,pretrained,mlp,2,to_reduced_word,3,7.9632104007777444,0.072314745362160981,0.02368983165954024,0.0022638673902757559,0,0
100,pretrained,mlp,2,compose,3,8.4598329632657059,0.34486733806648001,0.021247894060957364,0.0018591977280369579,0,0
100,pretrained,mlp,2,parity,3,5.186483872095744,0.091085061960883756,0.53173333333333339,0.0029938826518976147,0.063466666666666657,0.0059877653037951738
100,pretrained,mlp,2,to_lehmer,3,9.2532856666314185,0.30132166704073338,0.019064802812131406,0.0068877812412451861,0,0
100,pretrained,mlp,4,to_reduced_word,3,5.0822029556949486,1.2685729765123701,0.39278808274494481,0.038743697077131989,0,0
100,pretrained,mlp,4,compose,3,9.461738387569012,0.49520696467710934,0.1075452506901982,0.010045691090825204,0,0
100,pretrained,mlp,4,parity,3,1.5372739860057829,0.43716559324980492,0.68753333333333322,0.034677706575454652,0.37506666666666666,0.069355413150909387
100,pretrained,mlp,4,to_lehmer,3,2.3641922772284532,0.29865493567077456,0.55079860016271753,0.013234217401975589,0,0
100,pretrained,mlp,8,to_reduced_word,3,4.7226747382086609,0.2114638598870377,0.37526816311062045,0.011605242962852588,0,0
100,pretrained,mlp,8,compose,3,12.919407109156168,0.99668138026292563,0.11268590189171251,0.013969986006382521,0,0
100,pretrained,mlp,8,parity,3,1.7640913397153219,0.027916514100823339,0.60476666666666667,0.025495947390386006,0.20953333333333335,0.050991894780772103
100,pretrained,mlp,8,to_lehmer,3,2.4941581084537079,0.12484732298650178,0.55136499706096453,0.011073338036842946,0,0
100,pretrained,mlp,16,to_reduced_word,3,3.0703766450672991,0.38520467600140179,0.42617415289122934,0.011570516059617883,0,0
100,pretrained,mlp,16,compose,3,7.5617869158598268,2.8295261221294497,0.18744919237974056,0.066700946884079002,0,0
100,pretrained,mlp,16,parity,3,1.6872192837556204,0.72001172478032871,0.60683333333333334,0.078753814722420504,0.21366666666666667,0.15750762944484098
100,pretrained,mlp,16,to_lehmer,3,1.9132930920729152,0.091541187565948312,0.5461720523031528,0.0022456978653910961,0,0
