run_id,initialization,architecture,base_run_id,base_trained_task_count,seed,task,shots,evaluation_split,examples,supervised_tokens,loss,token_accuracy,sequence_accuracy,zero_shot_loss,zero_shot_token_accuracy,zero_shot_sequence_accuracy,loss_improvement_from_zero_shot,token_accuracy_improvement_from_zero_shot,sequence_accuracy_improvement_from_zero_shot,checkpoint_sha256,fewshot_config_sha256,support_artifact_sha256,test_manifest_sha256,evaluator_commit
pretrained-mlp-tasks02-seed314159-to_reduced_word,pretrained,mlp,mlp-tasks02-seed314159,2,314159,to_reduced_word,5,test_shard_099,5000,790719,7.4952435287041759,0.022857677632635614,0,10.653745999289887,0.023680978957126363,0,3.1585024705857112,-0.00082330132449074875,0,7244074c6f91c9a2d9286e1616803d34b7fa78742cd8745ba15123fce4407e71,f788f8d94c6b9914ed99002376f2e88474aa3654f79fbf3624656c25bd4ef5b5,2f40d0987604639945509b844a1f7fe1d0f7490415143673d149f8029ae6f622,3ca12e6b6eeb29fc0ddd441b9c44c80d7a160faaf7e832eb55007f4c6a3ab52b,4ede5c17ed7f6c27d752530849995d987175465e
pretrained-mlp-tasks02-seed314159-compose,pretrained,mlp,mlp-tasks02-seed314159,2,314159,compose,5,test_shard_099,5000,169758,7.9665957514359595,0.023586517277536259,0,11.165272396726149,0.022532075071572472,0,3.1986766452901891,0.0010544422059637869,0,a4c625323e1c0e7fe5a04a60153833de6c6aef3a0746063f8d568966a8b093f0,f788f8d94c6b9914ed99002376f2e88474aa3654f79fbf3624656c25bd4ef5b5,2f40d0987604639945509b844a1f7fe1d0f7490415143673d149f8029ae6f622,3ca12e6b6eeb29fc0ddd441b9c44c80d7a160faaf7e832eb55007f4c6a3ab52b,4ede5c17ed7f6c27d752530849995d987175465e
pretrained-mlp-tasks02-seed314159-parity,pretrained,mlp,mlp-tasks02-seed314159,2,314159,parity,5,test_shard_099,5000,10000,5.5490309127807613,0.53610000000000002,0.0722,5.975612942504883,0.52590000000000003,0.051799999999999999,0.42658202972412163,0.010199999999999987,0.020400000000000001,0bf8f69a19757f9e98091f30bf8a23cbc19290e279f41a0f6f48f8debd02a9e2,f788f8d94c6b9914ed99002376f2e88474aa3654f79fbf3624656c25bd4ef5b5,2f40d0987604639945509b844a1f7fe1d0f7490415143673d149f8029ae6f622,3ca12e6b6eeb29fc0ddd441b9c44c80d7a160faaf7e832eb55007f4c6a3ab52b,4ede5c17ed7f6c27d752530849995d987175465e
pretrained-mlp-tasks02-seed314159-to_lehmer,pretrained,mlp,mlp-tasks02-seed314159,2,314159,to_lehmer,5,test_shard_099,5000,171258,8.5855568551450876,0.024209088042602391,0,13.430301448280883,0.0091207418047624059,0,4.8447445931357951,0.015088346237839985,0,6350f2615ab58576bf31e3ff461f0da772773bb0fd77d3d47526ddf7ddf91661,f788f8d94c6b9914ed99002376f2e88474aa3654f79fbf3624656c25bd4ef5b5,2f40d0987604639945509b844a1f7fe1d0f7490415143673d149f8029ae6f622,3ca12e6b6eeb29fc0ddd441b9c44c80d7a160faaf7e832eb55007f4c6a3ab52b,4ede5c17ed7f6c27d752530849995d987175465e
pretrained-mlp-tasks04-seed17-to_reduced_word,pretrained,mlp,mlp-tasks04-seed17,4,17,to_reduced_word,5,test_shard_099,5000,790719,6.2009154357816367,0.35689669781553246,0,9.7075731223339137,0.27262023550717762,0,3.5066576865522769,0.084276462308354838,0,52af6a9eb2f4a5461befcd75db911d36f1cbf2ab53a4eba7a22c296a9677ee7a,f788f8d94c6b9914ed99002376f2e88474aa3654f79fbf3624656c25bd4ef5b5,2f40d0987604639945509b844a1f7fe1d0f7490415143673d149f8029ae6f622,3ca12e6b6eeb29fc0ddd441b9c44c80d7a160faaf7e832eb55007f4c6a3ab52b,4ede5c17ed7f6c27d752530849995d987175465e
pretrained-mlp-tasks04-seed17-compose,pretrained,mlp,mlp-tasks04-seed17,4,17,compose,5,test_shard_099,5000,169758,9.4839439859045207,0.1051202299744342,0,13.213101132614147,0.058689428480542892,0,3.7291571467096265,0.046430801493891304,0,46fabb86862534972822656d50b4130d850e2d520bf9af8bb5c75fcedcd46e48,f788f8d94c6b9914ed99002376f2e88474aa3654f79fbf3624656c25bd4ef5b5,2f40d0987604639945509b844a1f7fe1d0f7490415143673d149f8029ae6f622,3ca12e6b6eeb29fc0ddd441b9c44c80d7a160faaf7e832eb55007f4c6a3ab52b,4ede5c17ed7f6c27d752530849995d987175465e
pretrained-mlp-tasks04-seed17-parity,pretrained,mlp,mlp-tasks04-seed17,4,17,parity,5,test_shard_099,5000,10000,2.3335323643684389,0.63619999999999999,0.27239999999999998,4.3171380325317381,0.53110000000000002,0.062199999999999998,1.9836056681632992,0.10509999999999997,0.21019999999999997,299ed75040649be6ab4aceb3683e84a16b19094c8fb1bd907027be2504b8ec8e,f788f8d94c6b9914ed99002376f2e88474aa3654f79fbf3624656c25bd4ef5b5,2f40d0987604639945509b844a1f7fe1d0f7490415143673d149f8029ae6f622,3ca12e6b6eeb29fc0ddd441b9c44c80d7a160faaf7e832eb55007f4c6a3ab52b,4ede5c17ed7f6c27d752530849995d987175465e
pretrained-mlp-tasks04-seed17-to_lehmer,pretrained,mlp,mlp-tasks04-seed17,4,17,to_lehmer,5,test_shard_099,5000,171258,2.6100654467957907,0.54414392320358762,0,3.3882414399014844,0.53228462320008407,0,0.77817599310569374,0.011859300003503548,0,d5d21eae724944edb5e994fed3d6f03236873ce3b263aaef7a51ae7b38a8f528,f788f8d94c6b9914ed99002376f2e88474aa3654f79fbf3624656c25bd4ef5b5,2f40d0987604639945509b844a1f7fe1d0f7490415143673d149f8029ae6f622,3ca12e6b6eeb29fc0ddd441b9c44c80d7a160faaf7e832eb55007f4c6a3ab52b,4ede5c17ed7f6c27d752530849995d987175465e
pretrained-mlp-tasks04-seed42-to_reduced_word,pretrained,mlp,mlp-tasks04-seed42,4,42,to_reduced_word,5,test_shard_099,5000,790719,4.8277103792425091,0.39393766938697566,0,8.8636660923068415,0.2946305830516277,0,4.0359557130643324,0.09930708633534796,0,57a7674309e6139328a2225ff836cf3b17908344429556320fe1bde64429bff1,f788f8d94c6b9914ed99002376f2e88474aa3654f79fbf3624656c25bd4ef5b5,2f40d0987604639945509b844a1f7fe1d0f7490415143673d149f8029ae6f622,3ca12e6b6eeb29fc0ddd441b9c44c80d7a160faaf7e832eb55007f4c6a3ab52b,4ede5c17ed7f6c27d752530849995d987175465e
pretrained-mlp-tasks04-seed42-compose,pretrained,mlp,mlp-tasks04-seed42,4,42,compose,5,test_shard_099,5000,169758,8.5030019080125268,0.11284298825386727,0,12.231352868460636,0.05684562730475147,0,3.7283509604481093,0.055997360949115796,0,78816b146ad60d3dd12ef10baf40036bbedc287aab9c320181819f2bc3459e15,f788f8d94c6b9914ed99002376f2e88474aa3654f79fbf3624656c25bd4ef5b5,2f40d0987604639945509b844a1f7fe1d0f7490415143673d149f8029ae6f622,3ca12e6b6eeb29fc0ddd441b9c44c80d7a160faaf7e832eb55007f4c6a3ab52b,4ede5c17ed7f6c27d752530849995d987175465e
