run_id,architecture,trained_task_count,seed,task,task_status,examples,supervised_tokens,loss,token_accuracy,sequence_accuracy,in_domain_loss,in_domain_token_accuracy,in_domain_sequence_accuracy,loss_delta_out_minus_in,token_accuracy_delta_out_minus_in,sequence_accuracy_delta_out_minus_in
mlp-tasks02-seed314159,mlp,2,314159,to_cycle,pool_unseen,1000,73182,11.18208819279331,0.013473258451531798,0.0,13.060443821593056,0.016030940009447332,0.0,-1.8783556287997456,-0.002557681557915534,0.0
mlp-tasks02-seed314159,mlp,2,314159,to_inversion_vector,pool_unseen,1000,72902,11.09061600354757,0.017146305999835396,0.0,13.51496149795528,0.009207752141129944,0.0,-2.42434549440771,0.007938553858705451,0.0
mlp-tasks02-seed314159,mlp,2,314159,to_lehmer,fixed_train_holdout,1000,72832,11.088457023741281,0.0164213532513181,0.0,13.430301448280883,0.009120741804762406,0.0,-2.3418444245396017,0.0073006114465556955,0.0
transformer-tasks04-seed17,transformer,4,17,bruhat_leq,pool_unseen,1000,2000,7.087031723022461,0.043,0.001,8.448249490356446,0.0975,0.0058,-1.3612177673339847,-0.05450000000000001,-0.0048
transformer-tasks04-seed17,transformer,4,17,compose,fixed_train_holdout,1000,72906,10.774623811933346,0.11181521411132143,0.0,10.273449603626927,0.10588602598993861,0.0,0.5011742083064181,0.005929188121382822,0.0
transformer-tasks04-seed17,transformer,4,17,cycle_type,pool_unseen,1000,10104,7.702608273129377,0.38915281076801267,0.0,9.047999694496088,0.2401160854465008,0.0,-1.3453914213667115,0.14903672532151188,0.0
transformer-tasks04-seed17,transformer,4,17,descents,pool_unseen,1000,2000,4.544168495178223,0.4945,0.019,1.9177654453277588,0.6321,0.2642,2.626403049850464,-0.1376,-0.2452
transformer-tasks04-seed17,transformer,4,17,exceedances,pool_unseen,1000,2000,4.418533399581909,0.4975,0.027,1.9993992302894592,0.6371,0.2742,2.41913416929245,-0.1396,-0.2472
transformer-tasks04-seed17,transformer,4,17,fixed_points,seen,1000,2000,1.7652383365631104,0.7475,0.582,0.0045902682900428775,0.9989,0.9978,1.7606480682730674,-0.25139999999999996,-0.41580000000000006
transformer-tasks04-seed17,transformer,4,17,inverse,pool_unseen,1000,73094,7.504585217055692,0.2932525241469888,0.0,6.237141363664156,0.24554382982741932,0.0,1.2674438533915362,0.047708694319569506,0.0
transformer-tasks04-seed17,transformer,4,17,lds_length,pool_unseen,1000,2000,2.6017889347076415,0.523,0.054,1.945599296760559,0.6053,0.2106,0.6561896379470824,-0.08229999999999993,-0.15660000000000002
transformer-tasks04-seed17,transformer,4,17,length,pool_unseen,1000,5000,15.45881611328125,0.0158,0.0,12.21575671530482,0.21060596091848147,0.0628,3.2430593979764293,-0.19480596091848146,-0.0628
transformer-tasks04-seed17,transformer,4,17,lis_length,seen,1000,2000,1.1201654710769653,0.6325,0.27,0.3065067817211151,0.8687,0.7374,0.8136586893558502,-0.23620000000000008,-0.46740000000000004
transformer-tasks04-seed17,transformer,4,17,parity,fixed_train_holdout,1000,2000,4.963825016021729,0.459,0.0,4.477090814208984,0.5269,0.0538,0.4867342018127445,-0.06790000000000002,-0.0538
transformer-tasks04-seed17,transformer,4,17,pattern_avoidance,pool_unseen,1000,2000,7.8505017242431645,0.025,0.002,9.406807110595704,0.1015,0.009,-1.5563053863525393,-0.07650000000000001,-0.006999999999999999
transformer-tasks04-seed17,transformer,4,17,peaks,pool_unseen,1000,2000,2.6848818740844727,0.5165,0.054,2.9134013793945313,0.5525,0.105,-0.2285195053100586,-0.03600000000000003,-0.051
