architecture,trained_task_count,task_status,task_count,seed_count,loss_mean,loss_sample_sd,token_accuracy_mean,token_accuracy_sample_sd,sequence_accuracy_mean,sequence_accuracy_sample_sd,in_domain_sequence_accuracy_mean,sequence_accuracy_delta_out_minus_in_mean,sequence_accuracy_delta_out_minus_in_sample_sd
transformer,1,seen,1,3,5.4493886082967125,0.6824216597102529,0.2831666666666667,0.043503831248906485,0.04033333333333333,0.009291573243177568,0.7624666666666666,-0.7221333333333333,0.05860523298591459
transformer,2,fixed_train_holdout,3,3,11.888191452829412,1.0001379334902907,0.1503028271661391,0.04593711759193111,0.0,0.0,0.021755555555555556,-0.021755555555555556,0.0039812523620552315
transformer,2,pool_unseen,14,3,10.285856434089835,0.6033065231962449,0.24391850699455855,0.035025115686590585,0.016714285714285713,0.00178999486944881,0.073,-0.05628571428571429,0.004775532879764757
transformer,2,seen,2,3,3.6319141057332356,0.2390164108036591,0.5371666666666667,0.03610517045152031,0.11433333333333333,0.028728615235220318,0.8974666666666667,-0.7831333333333333,0.024142148482132527
transformer,4,fixed_train_holdout,3,3,6.049865385540812,0.33916007750741706,0.34420589788023315,0.007754086080795323,0.0001111111111111111,0.00019245008972987524,0.020733333333333333,-0.020622222222222222,0.002328884648002925
transformer,4,pool_unseen,12,3,6.384859649507899,0.522566881327569,0.3443469746956452,0.025758512782690347,0.02438888888888889,0.012776479402633807,0.07517222222222222,-0.05078333333333334,0.012135839942546673
transformer,4,seen,4,3,2.5085909643337456,0.4837430166686625,0.5860343394785694,0.03660734938357623,0.21258333333333335,0.05932554958307032,0.6801833333333334,-0.4676,0.061772586962179264
transformer,8,fixed_train_holdout,3,3,6.429900388300666,0.916281972851206,0.31119715130188025,0.03205565119964642,0.0012222222222222224,0.0010715167512214394,0.010733333333333333,-0.009511111111111109,0.011831470901950596
transformer,8,pool_unseen,8,3,6.904379551245394,0.2297995279248182,0.3461622615725742,0.04848304149298288,0.024041666666666666,0.02053667958393794,0.027733333333333332,-0.0036916666666666647,0.01364419137704149
transformer,8,seen,8,3,3.4660848855006834,0.39431993424508505,0.5071057962021918,0.05433724709361951,0.14108333333333334,0.010625245095212309,0.5960333333333333,-0.45495,0.010297178011474804
transformer,16,fixed_train_holdout,3,3,5.008070460448687,0.7532807143598103,0.3401392642277525,0.03891646702985505,0.0,0.0,0.003977777777777778,-0.003977777777777778,0.00414210538700273
transformer,16,seen,16,3,1.6038149251795026,0.04831374340162317,0.6183576071260627,0.002799881121733141,0.1835,0.00799120610421229,0.4858291666666667,-0.30232916666666665,0.015762516521270756
