logical_run_id,canonical_run_id,kind,split_id,role,related_pair_count,seed,tasks,reused,global_step,seen_task_token_accuracy_macro,seen_task_sequence_accuracy_macro,checkpoint_sha256
geometry-specialist-left_to_right_maxima-transformer-seed42,geometry-specialist-left_to_right_maxima-transformer-seed42,specialist,,specialist,,42,left_to_right_maxima,False,20000,1.0,1.0,0f914a99b38c5874b2bf42404fd97ec6a05f65a9c2777ea82fa4bddffb12c931
geometry-specialist-left_to_right_maxima-transformer-seed101,geometry-specialist-left_to_right_maxima-transformer-seed101,specialist,,specialist,,101,left_to_right_maxima,False,20000,1.0,1.0,7ae4795c6868e383593811c9562e9db8d5be707a393a2e020a04c5884752cc7d
geometry-specialist-left_to_right_minima-transformer-seed17,geometry-specialist-left_to_right_minima-transformer-seed17,specialist,,specialist,,17,left_to_right_minima,False,20000,1.0,1.0,65d4326d12f9e49257d48630d069b813ac9422a04998040a58cf0c62dd9e84f1
geometry-specialist-left_to_right_minima-transformer-seed42,geometry-specialist-left_to_right_minima-transformer-seed42,specialist,,specialist,,42,left_to_right_minima,False,20000,1.0,1.0,999eec399c54d9364d14d47d3e92289ea42385c4098dd48ebf5a213991c1f4b3
geometry-specialist-left_to_right_minima-transformer-seed101,geometry-specialist-left_to_right_minima-transformer-seed101,specialist,,specialist,,101,left_to_right_minima,False,20000,1.0,1.0,f3068ca45aaf4c4f80367c5aa2c3d79dcb33f27122f2591d8ef259c2c4ca882c
geometry-specialist-global_descents-transformer-seed17,geometry-specialist-global_descents-transformer-seed17,specialist,,specialist,,17,global_descents,False,20000,1.0,1.0,a8dd1ee38c2f54bd5572d72da498705774b653778fcc372c2e06fc91f92b7afe
geometry-specialist-global_descents-transformer-seed42,geometry-specialist-global_descents-transformer-seed42,specialist,,specialist,,42,global_descents,False,20000,1.0,1.0,41d5162e57f94be3757a6b16500d2e458064b200d637cd772902b9117dd68547
geometry-specialist-global_descents-transformer-seed101,geometry-specialist-global_descents-transformer-seed101,specialist,,specialist,,101,global_descents,False,20000,1.0,1.0,c1ddb5985bcf76eafc953cdb49eb7b2f81300d68058fb9eef14e7c7ad5771c5c
geometry-specialist-components-transformer-seed17,geometry-specialist-components-transformer-seed17,specialist,,specialist,,17,components,False,20000,1.0,1.0,86166d750c9de837114fa236dfbb855d10bb111675ccdd7b2085df9f3ec24567
geometry-specialist-components-transformer-seed42,geometry-specialist-components-transformer-seed42,specialist,,specialist,,42,components,False,20000,1.0,1.0,da3b2c13ced08863fa069e097fa368ed724037320c88868adab9f5df8ded999a
geometry-specialist-components-transformer-seed101,geometry-specialist-components-transformer-seed101,specialist,,specialist,,101,components,False,20000,1.0,1.0,9a112c7af2aa1b9e5d727a0a6ad4b09858a7aa30d0643bc86fe133ca6df206a6
geometry-bundle-s0-anchor-transformer-seed17,geometry-bundle-s0-anchor-transformer-seed17,bundle,s0,anchor,,17,"descents,anti_fixed_points,left_to_right_maxima,global_descents",False,20000,0.87890625,0.7578125,df7d235f16e2c1c12d5f1c0f79ac29dabb1e130176c0edd01cc4356b9770dbaf
geometry-bundle-s0-anchor-transformer-seed42,geometry-bundle-s0-anchor-transformer-seed42,bundle,s0,anchor,,42,"descents,anti_fixed_points,left_to_right_maxima,global_descents",False,20000,0.8984375,0.796875,17309a9b562c49dd6968ae0c1edf3631f846bb3793e6f1ebd7ca2910555bed7e
geometry-bundle-s0-anchor-transformer-seed101,geometry-bundle-s0-anchor-transformer-seed101,bundle,s0,anchor,,101,"descents,anti_fixed_points,left_to_right_maxima,global_descents",False,20000,0.8828125,0.765625,c9b15fa01bebba565bf7f923794116bad4f03914c025a9ede977b80de0bb64b5
geometry-bundle-s0-r0-transformer-seed17,geometry-bundle-s0-r0-transformer-seed17,bundle,s0,r0,0,17,"peaks,exceedances,lis_length,longest_increasing_run",False,20000,0.9203125,0.840625,9ec441d53e12b6b9e65698a25ab5b4d88d42955fa8dc83fe09d3ec5edf02c61a
geometry-bundle-s0-r0-transformer-seed42,geometry-bundle-s0-r0-transformer-seed42,bundle,s0,r0,0,42,"peaks,exceedances,lis_length,longest_increasing_run",False,20000,0.89453125,0.7890625,9ab3ea0f9f8a31077314228792d1f3bdb37ccff51d3188a24c2580a03909d824
geometry-bundle-s0-r0-transformer-seed101,geometry-bundle-s0-r0-transformer-seed101,bundle,s0,r0,0,101,"peaks,exceedances,lis_length,longest_increasing_run",False,20000,0.9007812500000001,0.8015625,59078bed55d3d586b13dba65a331f524f81bc7ee6cce34b48e03553ecc3cb230
geometry-bundle-s0-r1-transformer-seed17,geometry-bundle-s0-r1-transformer-seed17,bundle,s0,r1,1,17,"peaks,exceedances,lis_length,components",False,20000,0.9,0.8,e650b427cfc06db08c64d8b2614d585220cbe094f7b3e4b4cc7ff406e3fcc55b
geometry-bundle-s0-r1-transformer-seed42,geometry-bundle-s0-r1-transformer-seed42,bundle,s0,r1,1,42,"peaks,exceedances,lis_length,components",False,20000,0.903125,0.80625,7e9d2786c98a889403c272ce65a0db5db2394d836e40ef258e5531a89392e332
geometry-bundle-s0-r1-transformer-seed101,geometry-bundle-s0-r1-transformer-seed101,bundle,s0,r1,1,101,"peaks,exceedances,lis_length,components",False,20000,0.91015625,0.8203125,a24bdd65560f47e220aac249ea38268cf5527b4cb1ceb060db7da68b9dcf4341
geometry-bundle-s0-r2-transformer-seed17,geometry-bundle-s0-r2-transformer-seed17,bundle,s0,r2,2,17,"deficiencies,lds_length,left_to_right_minima,components",False,20000,0.96953125,0.9390625,a6b17ba051dd3a584ea9a025de10042bc81ec6c7e8da6acc27828ecd2d3bb489
geometry-bundle-s0-r2-transformer-seed42,geometry-bundle-s0-r2-transformer-seed42,bundle,s0,r2,2,42,"deficiencies,lds_length,left_to_right_minima,components",False,20000,0.953125,0.90625,9635285244d1caf275ccd79dee482f2e28ec7e109c970ea2e03c3bf3901c0e80
geometry-bundle-s0-r2-transformer-seed101,geometry-bundle-s0-r2-transformer-seed101,bundle,s0,r2,2,101,"deficiencies,lds_length,left_to_right_minima,components",False,20000,0.95234375,0.9046875,804ca75da6aac1523f54cd48a23aafc31d7caba1c69ca311eecd5687683719a2
geometry-bundle-s0-r4-transformer-seed17,geometry-bundle-s0-r4-transformer-seed17,bundle,s0,r4,4,17,"recoils,fixed_points,left_to_right_minima,components",False,20000,0.93359375,0.8671875,7acda892cc7138cc9e8a14df6760f4af7988bed482789dcc53c476d999376f19
geometry-bundle-s0-r4-transformer-seed42,geometry-bundle-s0-r4-transformer-seed42,bundle,s0,r4,4,42,"recoils,fixed_points,left_to_right_minima,components",False,20000,0.9367187499999999,0.8734375,45b735d567ab1476a8fb99a9a4ab64d87b97ecdf90bc9026b80b4b520c6524c5
geometry-bundle-s0-r4-transformer-seed101,geometry-bundle-s0-r4-transformer-seed101,bundle,s0,r4,4,101,"recoils,fixed_points,left_to_right_minima,components",False,20000,0.940625,0.88125,0cd02a03577815e547333580ff17ed85c32f9c20c9925aba5b038faadf7dec83
