split_id,model_seed,related_pair_count,layer,linear_cka,anchor_run_id,other_run_id
s0,101,1,block_03,0.19511648296915207,geometry-bundle-s0-anchor-transformer-seed101,geometry-bundle-s0-r1-transformer-seed101
s0,101,1,block_04,0.155034740193788,geometry-bundle-s0-anchor-transformer-seed101,geometry-bundle-s0-r1-transformer-seed101
s0,101,1,final_norm,0.17437476996058623,geometry-bundle-s0-anchor-transformer-seed101,geometry-bundle-s0-r1-transformer-seed101
s0,101,2,embedding,0.7760673638391774,geometry-bundle-s0-anchor-transformer-seed101,geometry-bundle-s0-r2-transformer-seed101
s0,101,2,block_01,0.24865026985406155,geometry-bundle-s0-anchor-transformer-seed101,geometry-bundle-s0-r2-transformer-seed101
s0,101,2,block_02,0.18755600784897145,geometry-bundle-s0-anchor-transformer-seed101,geometry-bundle-s0-r2-transformer-seed101
s0,101,2,block_03,0.16720577412932866,geometry-bundle-s0-anchor-transformer-seed101,geometry-bundle-s0-r2-transformer-seed101
s0,101,2,block_04,0.1116015104888057,geometry-bundle-s0-anchor-transformer-seed101,geometry-bundle-s0-r2-transformer-seed101
s0,101,2,final_norm,0.10925135814478219,geometry-bundle-s0-anchor-transformer-seed101,geometry-bundle-s0-r2-transformer-seed101
s0,101,4,embedding,0.7786122381956629,geometry-bundle-s0-anchor-transformer-seed101,geometry-bundle-s0-r4-transformer-seed101
s0,101,4,block_01,0.20411217359411074,geometry-bundle-s0-anchor-transformer-seed101,geometry-bundle-s0-r4-transformer-seed101
s0,101,4,block_02,0.1724365501426583,geometry-bundle-s0-anchor-transformer-seed101,geometry-bundle-s0-r4-transformer-seed101
s0,101,4,block_03,0.07651298394433184,geometry-bundle-s0-anchor-transformer-seed101,geometry-bundle-s0-r4-transformer-seed101
s0,101,4,block_04,0.04266190843889649,geometry-bundle-s0-anchor-transformer-seed101,geometry-bundle-s0-r4-transformer-seed101
s0,101,4,final_norm,0.04479323112776983,geometry-bundle-s0-anchor-transformer-seed101,geometry-bundle-s0-r4-transformer-seed101
s1,17,0,embedding,0.8070361155525491,geometry-bundle-s1-anchor-transformer-seed17,geometry-bundle-s1-r0-transformer-seed17
s1,17,0,block_01,0.6448110577762671,geometry-bundle-s1-anchor-transformer-seed17,geometry-bundle-s1-r0-transformer-seed17
s1,17,0,block_02,0.680607522045081,geometry-bundle-s1-anchor-transformer-seed17,geometry-bundle-s1-r0-transformer-seed17
s1,17,0,block_03,0.6659574115812372,geometry-bundle-s1-anchor-transformer-seed17,geometry-bundle-s1-r0-transformer-seed17
s1,17,0,block_04,0.34508156365476045,geometry-bundle-s1-anchor-transformer-seed17,geometry-bundle-s1-r0-transformer-seed17
s1,17,0,final_norm,0.3519125962249988,geometry-bundle-s1-anchor-transformer-seed17,geometry-bundle-s1-r0-transformer-seed17
s1,17,1,embedding,0.8891253808086752,geometry-bundle-s1-anchor-transformer-seed17,geometry-bundle-s1-r1-transformer-seed17
s1,17,1,block_01,0.71207442145634,geometry-bundle-s1-anchor-transformer-seed17,geometry-bundle-s1-r1-transformer-seed17
s1,17,1,block_02,0.757431941997413,geometry-bundle-s1-anchor-transformer-seed17,geometry-bundle-s1-r1-transformer-seed17
s1,17,1,block_03,0.7016256432332612,geometry-bundle-s1-anchor-transformer-seed17,geometry-bundle-s1-r1-transformer-seed17
s1,17,1,block_04,0.3228203838088931,geometry-bundle-s1-anchor-transformer-seed17,geometry-bundle-s1-r1-transformer-seed17
s1,17,1,final_norm,0.2829254688117596,geometry-bundle-s1-anchor-transformer-seed17,geometry-bundle-s1-r1-transformer-seed17
s1,17,2,embedding,0.9341696067782042,geometry-bundle-s1-anchor-transformer-seed17,geometry-bundle-s1-r2-transformer-seed17
s1,17,2,block_01,0.7883949458029738,geometry-bundle-s1-anchor-transformer-seed17,geometry-bundle-s1-r2-transformer-seed17
s1,17,2,block_02,0.7446118641979411,geometry-bundle-s1-anchor-transformer-seed17,geometry-bundle-s1-r2-transformer-seed17
s1,17,2,block_03,0.5487639119497427,geometry-bundle-s1-anchor-transformer-seed17,geometry-bundle-s1-r2-transformer-seed17
s1,17,2,block_04,0.28541693541369645,geometry-bundle-s1-anchor-transformer-seed17,geometry-bundle-s1-r2-transformer-seed17
s1,17,2,final_norm,0.22932528410470215,geometry-bundle-s1-anchor-transformer-seed17,geometry-bundle-s1-r2-transformer-seed17
s1,17,4,embedding,0.9404992449987278,geometry-bundle-s1-anchor-transformer-seed17,geometry-bundle-s1-r4-transformer-seed17
s1,17,4,block_01,0.7827892525430503,geometry-bundle-s1-anchor-transformer-seed17,geometry-bundle-s1-r4-transformer-seed17
s1,17,4,block_02,0.6799890532306547,geometry-bundle-s1-anchor-transformer-seed17,geometry-bundle-s1-r4-transformer-seed17
s1,17,4,block_03,0.5125440227414653,geometry-bundle-s1-anchor-transformer-seed17,geometry-bundle-s1-r4-transformer-seed17
s1,17,4,block_04,0.2215535723830427,geometry-bundle-s1-anchor-transformer-seed17,geometry-bundle-s1-r4-transformer-seed17
