pair_id,task_left,task_right,model_seed,condition,applied_transform,layer,linear_cka
peak_complement,peaks,valleys,101,wrong,inverse,block_02,0.35638794206821045
peak_complement,peaks,valleys,101,wrong,inverse,block_03,0.5353689295031295
peak_complement,peaks,valleys,101,wrong,inverse,block_04,0.4355853081525626
peak_complement,peaks,valleys,101,wrong,inverse,final_norm,0.3368959049940495
fixed_complement,fixed_points,anti_fixed_points,17,identity,identity,embedding,0.6368138174906128
fixed_complement,fixed_points,anti_fixed_points,17,identity,identity,block_01,0.04787521574075452
fixed_complement,fixed_points,anti_fixed_points,17,identity,identity,block_02,0.02629901992443441
fixed_complement,fixed_points,anti_fixed_points,17,identity,identity,block_03,0.018795111297645297
fixed_complement,fixed_points,anti_fixed_points,17,identity,identity,block_04,0.013195212809665836
fixed_complement,fixed_points,anti_fixed_points,17,identity,identity,final_norm,0.014429888125522573
fixed_complement,fixed_points,anti_fixed_points,17,correct,complement,embedding,0.6368138174906128
fixed_complement,fixed_points,anti_fixed_points,17,correct,complement,block_01,0.19767622833052068
fixed_complement,fixed_points,anti_fixed_points,17,correct,complement,block_02,0.2919987260691485
fixed_complement,fixed_points,anti_fixed_points,17,correct,complement,block_03,0.21450203464067688
fixed_complement,fixed_points,anti_fixed_points,17,correct,complement,block_04,0.14058483212729783
fixed_complement,fixed_points,anti_fixed_points,17,correct,complement,final_norm,0.13752967195935603
fixed_complement,fixed_points,anti_fixed_points,17,wrong,inverse,embedding,0.6368138174906128
fixed_complement,fixed_points,anti_fixed_points,17,wrong,inverse,block_01,0.04744958166878585
fixed_complement,fixed_points,anti_fixed_points,17,wrong,inverse,block_02,0.026216346010827177
fixed_complement,fixed_points,anti_fixed_points,17,wrong,inverse,block_03,0.01908983188338918
fixed_complement,fixed_points,anti_fixed_points,17,wrong,inverse,block_04,0.01393684704349693
fixed_complement,fixed_points,anti_fixed_points,17,wrong,inverse,final_norm,0.015756008510832416
fixed_complement,fixed_points,anti_fixed_points,42,identity,identity,embedding,0.6071015380339598
fixed_complement,fixed_points,anti_fixed_points,42,identity,identity,block_01,0.02135330037671984
fixed_complement,fixed_points,anti_fixed_points,42,identity,identity,block_02,0.011877945946380046
fixed_complement,fixed_points,anti_fixed_points,42,identity,identity,block_03,0.012681172292017677
fixed_complement,fixed_points,anti_fixed_points,42,identity,identity,block_04,0.0072713053231199
fixed_complement,fixed_points,anti_fixed_points,42,identity,identity,final_norm,0.007945180489540654
fixed_complement,fixed_points,anti_fixed_points,42,correct,complement,embedding,0.6071015380339598
fixed_complement,fixed_points,anti_fixed_points,42,correct,complement,block_01,0.2134106201428214
fixed_complement,fixed_points,anti_fixed_points,42,correct,complement,block_02,0.35869408103419514
fixed_complement,fixed_points,anti_fixed_points,42,correct,complement,block_03,0.41867027421928465
fixed_complement,fixed_points,anti_fixed_points,42,correct,complement,block_04,0.35017951230480115
fixed_complement,fixed_points,anti_fixed_points,42,correct,complement,final_norm,0.3825219916897212
fixed_complement,fixed_points,anti_fixed_points,42,wrong,inverse,embedding,0.6071015380339598
fixed_complement,fixed_points,anti_fixed_points,42,wrong,inverse,block_01,0.02167164995390376
