comparison,task_a,task_b,seed_a,seed_b,same_seed,layer,linear_cka
same_task,deficiencies,deficiencies,17,42,False,embedding,0.949767491963293
same_task,deficiencies,deficiencies,17,42,False,block_01,0.7987812459100644
same_task,deficiencies,deficiencies,17,42,False,block_02,0.8618761597351016
same_task,deficiencies,deficiencies,17,42,False,block_03,0.8937530539711448
same_task,deficiencies,deficiencies,17,42,False,block_04,0.7415981809210381
same_task,deficiencies,deficiencies,17,42,False,final_norm,0.7779161034349615
same_task,deficiencies,deficiencies,17,101,False,embedding,0.940991389654057
same_task,deficiencies,deficiencies,17,101,False,block_01,0.8689306535993144
same_task,deficiencies,deficiencies,17,101,False,block_02,0.9154188385504374
same_task,deficiencies,deficiencies,17,101,False,block_03,0.9263739333950873
same_task,deficiencies,deficiencies,17,101,False,block_04,0.836292108621478
same_task,deficiencies,deficiencies,17,101,False,final_norm,0.8542075721072859
same_task,deficiencies,deficiencies,42,101,False,embedding,0.9319453944253258
same_task,deficiencies,deficiencies,42,101,False,block_01,0.7480990942815815
same_task,deficiencies,deficiencies,42,101,False,block_02,0.8620854932258375
same_task,deficiencies,deficiencies,42,101,False,block_03,0.8669550594172081
same_task,deficiencies,deficiencies,42,101,False,block_04,0.7594610946657999
same_task,deficiencies,deficiencies,42,101,False,final_norm,0.7914183222958662
same_task,lis_length,lis_length,17,42,False,embedding,0.930387508812376
same_task,lis_length,lis_length,17,42,False,block_01,0.5469914930220565
same_task,lis_length,lis_length,17,42,False,block_02,0.7674905906594548
same_task,lis_length,lis_length,17,42,False,block_03,0.8356434886378132
same_task,lis_length,lis_length,17,42,False,block_04,0.6826831596629316
same_task,lis_length,lis_length,17,42,False,final_norm,0.7142876137087312
same_task,lis_length,lis_length,17,101,False,embedding,0.9359594178938498
same_task,lis_length,lis_length,17,101,False,block_01,0.7330089689863639
same_task,lis_length,lis_length,17,101,False,block_02,0.8177985464806721
same_task,lis_length,lis_length,17,101,False,block_03,0.8309252548446823
same_task,lis_length,lis_length,17,101,False,block_04,0.5431726416867655
same_task,lis_length,lis_length,17,101,False,final_norm,0.48378638530325185
same_task,lis_length,lis_length,42,101,False,embedding,0.9416706841820571
same_task,lis_length,lis_length,42,101,False,block_01,0.5354452976029628
same_task,lis_length,lis_length,42,101,False,block_02,0.8088880983382946
same_task,lis_length,lis_length,42,101,False,block_03,0.8041665874211223
same_task,lis_length,lis_length,42,101,False,block_04,0.6536194208747922
same_task,lis_length,lis_length,42,101,False,final_norm,0.6435380567720315
same_task,lds_length,lds_length,17,42,False,embedding,0.9069858914010351
same_task,lds_length,lds_length,17,42,False,block_01,0.8905078342516739
same_task,lds_length,lds_length,17,42,False,block_02,0.8240020318860959
same_task,lds_length,lds_length,17,42,False,block_03,0.838934815739388
same_task,lds_length,lds_length,17,42,False,block_04,0.9087310843861164
same_task,lds_length,lds_length,17,42,False,final_norm,0.9305872312448458
same_task,lds_length,lds_length,17,101,False,embedding,0.9180825160081579
same_task,lds_length,lds_length,17,101,False,block_01,0.913216007791526
same_task,lds_length,lds_length,17,101,False,block_02,0.8058127308239812
same_task,lds_length,lds_length,17,101,False,block_03,0.8320109492801442
same_task,lds_length,lds_length,17,101,False,block_04,0.9192740030224409
same_task,lds_length,lds_length,17,101,False,final_norm,0.9317196356807332
same_task,lds_length,lds_length,42,101,False,embedding,0.9432837655947017
same_task,lds_length,lds_length,42,101,False,block_01,0.9493348975748257
same_task,lds_length,lds_length,42,101,False,block_02,0.927039090790213
same_task,lds_length,lds_length,42,101,False,block_03,0.9390109050177063
same_task,lds_length,lds_length,42,101,False,block_04,0.9227247570691379
same_task,lds_length,lds_length,42,101,False,final_norm,0.936261156353686
same_task,longest_increasing_run,longest_increasing_run,17,42,False,embedding,0.7545416425133076
same_task,longest_increasing_run,longest_increasing_run,17,42,False,block_01,0.5489499923367143
same_task,longest_increasing_run,longest_increasing_run,17,42,False,block_02,0.6805776286809115
same_task,longest_increasing_run,longest_increasing_run,17,42,False,block_03,0.32888781677403606
same_task,longest_increasing_run,longest_increasing_run,17,42,False,block_04,0.8508503581132182
same_task,longest_increasing_run,longest_increasing_run,17,42,False,final_norm,0.8779592470104206
same_task,longest_increasing_run,longest_increasing_run,17,101,False,embedding,0.7503547106187781
same_task,longest_increasing_run,longest_increasing_run,17,101,False,block_01,0.6173830853854358
same_task,longest_increasing_run,longest_increasing_run,17,101,False,block_02,0.7834414074771144
same_task,longest_increasing_run,longest_increasing_run,17,101,False,block_03,0.6511704380533971
same_task,longest_increasing_run,longest_increasing_run,17,101,False,block_04,0.8503043598033896
same_task,longest_increasing_run,longest_increasing_run,17,101,False,final_norm,0.8947518829660872
same_task,longest_increasing_run,longest_increasing_run,42,101,False,embedding,0.7904179955422165
same_task,longest_increasing_run,longest_increasing_run,42,101,False,block_01,0.8150112632906118
same_task,longest_increasing_run,longest_increasing_run,42,101,False,block_02,0.8802149184137148
same_task,longest_increasing_run,longest_increasing_run,42,101,False,block_03,0.6672447764931467
same_task,longest_increasing_run,longest_increasing_run,42,101,False,block_04,0.9299976124182003
same_task,longest_increasing_run,longest_increasing_run,42,101,False,final_norm,0.9332651087710261
same_task,longest_decreasing_run,longest_decreasing_run,17,42,False,embedding,0.8325029514038945
same_task,longest_decreasing_run,longest_decreasing_run,17,42,False,block_01,0.609316523226825
same_task,longest_decreasing_run,longest_decreasing_run,17,42,False,block_02,0.7320927991269756
same_task,longest_decreasing_run,longest_decreasing_run,17,42,False,block_03,0.874701523837864
same_task,longest_decreasing_run,longest_decreasing_run,17,42,False,block_04,0.9668358337705231
same_task,longest_decreasing_run,longest_decreasing_run,17,42,False,final_norm,0.9756926889747389
same_task,longest_decreasing_run,longest_decreasing_run,17,101,False,embedding,0.8242540742399248
same_task,longest_decreasing_run,longest_decreasing_run,17,101,False,block_01,0.5636746661907164
same_task,longest_decreasing_run,longest_decreasing_run,17,101,False,block_02,0.7711652531831834
